Accession,Description,Norm Avg Ratio
P46379,Large proline-rich protein BAG6,0.657275421
Q9UHD8,Septin-9,0.657229536
P13667,Protein disulfide-isomerase A4,0.657218403
P62829,60S ribosomal protein L23,0.656969282
P62899,60S ribosomal protein L31,0.656788041
P35579,Myosin-9,0.656787091
Q16181,Septin-7,0.656639483
Q86XP3,ATP-dependent RNA helicase DDX42,0.656605217
P12081,"Histidyl-tRNA synthetase, cytoplasmic",0.656366723
P17987,T-complex protein 1 subunit alpha,0.656105096
P50990,T-complex protein 1 subunit theta,0.65561728
P78371,T-complex protein 1 subunit beta,0.655442679
Q8TEX9,Importin-4,0.655353614
Q9BUB7,"Transmembrane protein 70, mitochondrial",0.655253416
P23284,Peptidyl-prolyl cis-trans isomerase B,0.655236717
P11021,78 kDa glucose-regulated protein,0.655208884
Q9H3U1,Protein unc-45 homolog A,0.655169918
Q92945,Far upstream element-binding protein 2,0.655030646
P43490,Nicotinamide phosphoribosyltransferase,0.654969523
P78344,Eukaryotic translation initiation factor 4 gamma 2,0.654919424
P19623,Spermidine synthase,0.654915254
Q9H0A0,N-acetyltransferase 10,0.654908291
P28838,Cytosol aminopeptidase,0.654870115
Q9UMS4,Pre-mRNA-processing factor 19,0.654851774
P11717,Cation-independent mannose-6-phosphate receptor,0.654719029
Q99643,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial",0.654452444
Q15050,Ribosome biogenesis regulatory protein homolog,0.654351638
Q9BTT0,Acidic leucine-rich nuclear phosphoprotein 32 family member E,0.654301539
Q9Y285,Phenylalanyl-tRNA synthetase alpha chain,0.654167942
O75390,"Citrate synthase, mitochondrial",0.654138657
P82909,"28S ribosomal protein S36, mitochondrial",0.654034346
P84103,Serine/arginine-rich splicing factor 3,0.654028779
Q9Y3B4,Pre-mRNA branch site protein p14,0.653750452
O14936,Peripheral plasma membrane protein CASK,0.653577083
P08238,Heat shock protein HSP 90-beta,0.653382483
P50991,T-complex protein 1 subunit delta,0.653183351
P56537,Eukaryotic translation initiation factor 6,0.653154833
P22061,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,0.6531437
P17655,Calpain-2 catalytic subunit,0.653126505
Q68D91,Metallo-beta-lactamase domain-containing protein 2,0.653049069
Q14103,Heterogeneous nuclear ribonucleoprotein D0,0.65303677
Q9NVP1,ATP-dependent RNA helicase DDX18,0.653004537
Q14566,DNA replication licensing factor MCM6,0.653004537
Q9BQA1,Methylosome protein 50,0.652960004
O75348,V-type proton ATPase subunit G 1,0.652762413
Q96AE4,Far upstream element-binding protein 1,0.652596976
Q6P996,Pyridoxal-dependent decarboxylase domain-containing protein 1,0.652593612
Q07020,60S ribosomal protein L18,0.65257982
P07602,Proactivator polypeptide,0.652470149
P08107,Heat shock 70 kDa protein 1A/1B,0.652352689
P49589,"Cysteinyl-tRNA synthetase, cytoplasmic",0.652106879
Q99615,DnaJ homolog subfamily C member 7,0.651941884
P62750,60S ribosomal protein L23a,0.651841131
Q06830,Peroxiredoxin-1,0.651757591
O14980,Exportin-1,0.65160993
Q9Y5Y2,Cytosolic Fe-S cluster assembly factor NUBP2,0.65148433
Q12904,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,0.65129388
Q9BY32,Inosine triphosphate pyrophosphatase,0.650993204
Q13618,Cullin-3,0.650956555
P54577,"Tyrosyl-tRNA synthetase, cytoplasmic",0.650677726
P00374,Dihydrofolate reductase,0.650447715
P37198,Nuclear pore glycoprotein p62,0.650399399
P04632,Calpain small subunit 1,0.650368478
P49005,DNA polymerase delta subunit 2,0.650098806
P62191,26S protease regulatory subunit 4,0.649865012
P60174,Triosephosphate isomerase,0.649820479
P46776,60S ribosomal protein L27a,0.649792647
Q6P1J9,Parafibromin,0.649742548
P50443,Sulfate transporter,0.649714333
Q8N5K1,CDGSH iron-sulfur domain-containing protein 2,0.649636784
Q92598,Heat shock protein 105 kDa,0.649542153
P62701,"40S ribosomal protein S4, X isoform",0.649427716
Q9H583,HEAT repeat-containing protein 1,0.649269664
P55010,Eukaryotic translation initiation factor 5,0.649176915
Q13283,Ras GTPase-activating protein-binding protein 1,0.648601659
Q9Y3I0,tRNA-splicing ligase RtcB homolog,0.648590239
P49591,"Seryl-tRNA synthetase, cytoplasmic",0.648150519
Q9UNM6,26S proteasome non-ATPase regulatory subunit 13,0.648113138
P30536,Translocator protein,0.648044755
O15143,Actin-related protein 2/3 complex subunit 1B,0.647890674
P00492,Hypoxanthine-guanine phosphoribosyltransferase,0.647866626
Q86Y56,HEAT repeat-containing protein 2,0.647766428
Q06481,Amyloid-like protein 2,0.64776431
Q9UHY7,Enolase-phosphatase E1,0.647639501
P62263,40S ribosomal protein S14,0.647533313
P07814,Bifunctional aminoacyl-tRNA synthetase,0.647199273
O43776,"Asparaginyl-tRNA synthetase, cytoplasmic",0.646995546
P13797,Plastin-3,0.646937015
P15531,Nucleoside diphosphate kinase A,0.646781152
O60610,Protein diaphanous homolog 1,0.646728065
Q9BQ52,Zinc phosphodiesterase ELAC protein 2,0.646431742
Q08J23,tRNA (cytosine(34)-C(5))-methyltransferase,0.646402523
P09972,Fructose-bisphosphate aldolase C,0.646191099
P35237,Serpin B6,0.646110425
P61981,14-3-3 protein gamma,0.645974004
Q03701,CCAAT/enhancer-binding protein zeta,0.645935039
P47813,"Eukaryotic translation initiation factor 1A, X-chromosomal",0.645863228
P51858,Hepatoma-derived growth factor,0.645641364
O43175,D-3-phosphoglycerate dehydrogenase,0.645584347
Q9Y230,RuvB-like 2,0.645517548
Q99733,Nucleosome assembly protein 1-like 4,0.644999861
P63313,Thymosin beta-10,0.644916363
Q9BUQ8,Probable ATP-dependent RNA helicase DDX23,0.644882964
Q96G23,LAG1 longevity assurance homolog 2,0.644816165
Q13867,Bleomycin hydrolase,0.644750038
Q14152,Eukaryotic translation initiation factor 3 subunit A,0.644548972
P53674,Beta-crystallin B1,0.644454341
Q02878,60S ribosomal protein L6,0.644253368
P27348,14-3-3 protein theta,0.644242812
O43852,Calumenin,0.644231679
P62195,26S protease regulatory subunit 8,0.643691725
P60900,Proteasome subunit alpha type-6,0.643568097
P53396,ATP-citrate synthase,0.643324334
P28065,Proteasome subunit beta type-9,0.643313178
Q9Y2Q9,"28S ribosomal protein S28, mitochondrial",0.643290205
P18206,Vinculin,0.643212483
P62888,60S ribosomal protein L30,0.643163702
P47897,Glutaminyl-tRNA synthetase,0.642963126
O00410,Importin-5,0.642823346
P55884,Eukaryotic translation initiation factor 3 subunit B,0.642489354
Q9H299,SH3 domain-binding glutamic acid-rich-like protein 3,0.642454893
P49458,Signal recognition particle 9 kDa protein,0.642444661
Q96AA3,Protein RFT1 homolog,0.64236689
P33991,DNA replication licensing factor MCM4,0.642178156
Q13200,26S proteasome non-ATPase regulatory subunit 2,0.641749005
Q32MZ4,Leucine-rich repeat flightless-interacting protein 1,0.641701836
Q96DX4,RING finger and SPRY domain-containing protein 1,0.641589185
Q92769,Histone deacetylase 2,0.641165512
Q04721,Neurogenic locus notch homolog protein 2,0.64110652
P26641,Elongation factor 1-gamma,0.640958557
Q16881,"Thioredoxin reductase 1, cytoplasmic",0.640919591
Q86YS7,Uncharacterized protein KIAA0528,0.640657964
Q9BVP2,Guanine nucleotide-binding protein-like 3,0.640641857
Q15435,Protein phosphatase 1 regulatory subunit 7,0.640536346
P49588,"Alanyl-tRNA synthetase, cytoplasmic",0.640505622
P28066,Proteasome subunit alpha type-5,0.640079045
P63218,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5,0.640062321
P60660,Myosin light polypeptide 6,0.639884216
Q14137,Ribosome biogenesis protein BOP1,0.639778452
P12277,Creatine kinase B-type,0.63957249
Q14974,Importin subunit beta-1,0.639539091
Q9Y3A5,Ribosome maturation protein SBDS,0.639524767
Q04917,14-3-3 protein eta,0.639506528
Q9BT78,COP9 signalosome complex subunit 4,0.639467667
O95456,Proteasome assembly chaperone 1,0.639333129
Q04323,UBX domain-containing protein 1,0.639110468
Q9NSE4,"Isoleucyl-tRNA synthetase, mitochondrial",0.639100579
P32322,"Pyrroline-5-carboxylate reductase 1, mitochondrial",0.638943472
P14868,"Aspartyl-tRNA synthetase, cytoplasmic",0.638890581
P49721,Proteasome subunit beta type-2,0.638809862
Q9UNQ0,ATP-binding cassette sub-family G member 2,0.638629005
P07900,Heat shock protein HSP 90-alpha,0.63817392
Q9UL46,Proteasome activator complex subunit 2,0.637977527
P46783,40S ribosomal protein S10,0.637780066
P30084,"Enoyl-CoA hydratase, mitochondrial",0.637763367
P51812,Ribosomal protein S6 kinase alpha-3,0.637702188
Q9HAV7,"GrpE protein homolog 1, mitochondrial",0.637644353
Q96GQ7,Probable ATP-dependent RNA helicase DDX27,0.637545506
P39023,60S ribosomal protein L3,0.63734031
Q16629,Serine/arginine-rich splicing factor 7,0.637240429
P31942,Heterogeneous nuclear ribonucleoprotein H3,0.636972919
P55735,Protein SEC13 homolog,0.636643735
P27708,CAD protein,0.636623361
P52209,"6-phosphogluconate dehydrogenase, decarboxylating",0.636477497
Q9BW27,Nuclear pore complex protein Nup85,0.636366167
Q96P16,Regulation of nuclear pre-mRNA domain-containing protein 1A,0.636004724
P49959,Double-strand break repair protein MRE11A,0.63598371
P62826,GTP-binding nuclear protein Ran,0.635887445
Q01650,Large neutral amino acids transporter small subunit 1,0.635592418
P19338,Nucleolin,0.635514487
Q9Y617,Phosphoserine aminotransferase,0.634988113
P61758,Prefoldin subunit 3,0.634718233
Q9UI10,Translation initiation factor eIF-2B subunit delta,0.634671492
P54727,UV excision repair protein RAD23 homolog B,0.634560641
Q02790,Peptidyl-prolyl cis-trans isomerase FKBP4,0.634423446
P25786,Proteasome subunit alpha type-1,0.634217484
Q9UBT2,SUMO-activating enzyme subunit 2,0.634033789
P06753,Tropomyosin alpha-3 chain,0.633772162
P23588,Eukaryotic translation initiation factor 4B,0.633539801
P47756,F-actin-capping protein subunit beta,0.633265249
O15269,Serine palmitoyltransferase 1,0.633191957
Q9P258,Protein RCC2,0.632942748
O75822,Eukaryotic translation initiation factor 3 subunit J,0.632914916
P07737,Profilin-1,0.632719695
Q9UQ80,Proliferation-associated protein 2G4,0.632636589
P31948,Stress-induced-phosphoprotein 1,0.632514125
Q9NX40,OCIA domain-containing protein 1,0.63245846
P46781,40S ribosomal protein S9,0.63229939
O95373,Importin-7,0.632173738
P28070,Proteasome subunit beta type-4,0.632141167
Q04695,"Keratin, type I cytoskeletal 17",0.632102202
P13489,Ribonuclease inhibitor,0.632008829
Q16401,26S proteasome non-ATPase regulatory subunit 5,0.631672332
P13639,Elongation factor 2,0.63162348
Q9NR45,Sialic acid synthase,0.631453552
P20618,Proteasome subunit beta type-1,0.631083526
P52272,Heterogeneous nuclear ribonucleoprotein M,0.63102218
Q8IZL8,"Proline-, glutamic acid- and leucine-rich protein 1",0.630766233
Q9GZL7,Ribosome biogenesis protein WDR12,0.630529388
Q9UH62,Armadillo repeat-containing X-linked protein 3,0.630363292
Q96QD8,Sodium-coupled neutral amino acid transporter 2,0.630288524
Q15427,Splicing factor 3B subunit 4,0.630247375
P25787,Proteasome subunit alpha type-2,0.630215147
Q14247,Src substrate cortactin,0.630170614
P23396,40S ribosomal protein S3,0.630025884
Q9HCJ1,Progressive ankylosis protein homolog,0.629992485
Q8N3U4,Cohesin subunit SA-2,0.629983129
P23528,Cofilin-1,0.629925687
Q12849,G-rich sequence factor 1,0.629904132
Q9Y570,Protein phosphatase methylesterase 1,0.629641794
P98179,Putative RNA-binding protein 3,0.629547162
P12004,Proliferating cell nuclear antigen,0.629473066
O60506,Heterogeneous nuclear ribonucleoprotein Q,0.62947181
P31939,Bifunctional purine biosynthesis protein PURH,0.629385733
Q8IY81,Putative rRNA methyltransferase 3,0.6293746
P38919,Eukaryotic initiation factor 4A-III,0.629252136
Q13596,Sorting nexin-1,0.62924668
P51659,Peroxisomal multifunctional enzyme type 2,0.629235437
Q9UNZ2,NSFL1 cofactor p47,0.628892702
Q99497,Protein DJ-1,0.628845779
O95298,NADH dehydrogenase [ubiquinone] 1 subunit C2,0.628792128
P49411,"Elongation factor Tu, mitochondrial",0.628502757
P62277,40S ribosomal protein S13,0.628466228
P40938,Replication factor C subunit 3,0.628370676
Q99595,Mitochondrial import inner membrane translocase subunit Tim17-A,0.628237589
P00338,L-lactate dehydrogenase A chain,0.628005233
P06744,Glucose-6-phosphate isomerase,0.627982966
P34897,"Serine hydroxymethyltransferase, mitochondrial",0.627459712
Q13155,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,0.627404047
Q14166,Tubulin--tyrosine ligase-like protein 12,0.627304125
P11177,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",0.627113753
Q9NTK5,Obg-like ATPase 1,0.62709442
O43707,Alpha-actinin-4,0.626819561
P00558,Phosphoglycerate kinase 1,0.626569067
Q9GZS3,WD repeat-containing protein 61,0.626520852
Q9NZM1,Myoferlin,0.626502151
P51991,Heterogeneous nuclear ribonucleoprotein A3,0.62614601
P62280,40S ribosomal protein S11,0.626040508
Q13085,Acetyl-CoA carboxylase 1,0.625789671
P29401,Transketolase,0.625663819
Q9UKY7,Protein CDV3 homolog,0.625622756
P08243,Asparagine synthetase [glutamine-hydrolyzing],0.625522558
Q92900,Regulator of nonsense transcripts 1,0.625416794
Q01105,Protein SET,0.625238665
Q9NZI8,Insulin-like growth factor 2 mRNA-binding protein 1,0.625158927
Q02543,60S ribosomal protein L18a,0.625049403
Q9UBQ5,Eukaryotic translation initiation factor 3 subunit K,0.625045574
Q96KP4,Cytosolic non-specific dipeptidase,0.625016004
P62910,60S ribosomal protein L32,0.624771076
O75494,Serine/arginine-rich splicing factor 10,0.624713881
P31153,S-adenosylmethionine synthase isoform type-2,0.624600703
P30041,Peroxiredoxin-6,0.624386846
P58546,Myotrophin,0.624017422
Q86U42,Polyadenylate-binding protein 2,0.62389713
Q96PK6,RNA-binding protein 14,0.623827785
Q13247,Serine/arginine-rich splicing factor 6,0.623786497
P32929,Cystathionine gamma-lyase,0.623731537
P26373,60S ribosomal protein L13,0.623663336
O95232,Luc7-like protein 3,0.623657506
Q8N1F7,Nuclear pore complex protein Nup93,0.62359415
P62495,Eukaryotic peptide chain release factor subunit 1,0.622826057
P05783,"Keratin, type I cytoskeletal 18",0.622600128
Q9NZL9,Methionine adenosyltransferase 2 subunit beta,0.622421537
P49207,60S ribosomal protein L34,0.621872092
O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",0.621759581
O00425,Insulin-like growth factor 2 mRNA-binding protein 3,0.621729614
Q8WUH6,UPF0444 transmembrane protein C12orf23,0.621622566
P05198,Eukaryotic translation initiation factor 2 subunit 1,0.621342091
Q99436,Proteasome subunit beta type-7,0.621019232
P61313,60S ribosomal protein L15,0.620724206
P12814,Alpha-actinin-1,0.620640708
Q9NZ45,CDGSH iron-sulfur domain-containing protein 1,0.620615205
P84090,Enhancer of rudimentary homolog,0.619722953
P25685,DnaJ homolog subfamily B member 1,0.61954254
P21266,Glutathione S-transferase Mu 3,0.619327006
P26196,Probable ATP-dependent RNA helicase DDX6,0.61932144
Q7L014,Probable ATP-dependent RNA helicase DDX46,0.618883472
Q13310,Polyadenylate-binding protein 4,0.618720254
Q9Y4P3,Transducin beta-like protein 2,0.618542734
Q15181,Inorganic pyrophosphatase,0.618419661
P40261,Nicotinamide N-methyltransferase,0.618146901
O00148,ATP-dependent RNA helicase DDX39A,0.618024437
Q9BRA2,Thioredoxin domain-containing protein 17,0.617846972
P62269,40S ribosomal protein S18,0.617841107
P62316,Small nuclear ribonucleoprotein Sm D2,0.617829608
P48723,Heat shock 70 kDa protein 13,0.617820074
Q9Y5S9,RNA-binding protein 8A,0.617595814
Q9UNX4,WD repeat-containing protein 3,0.617373153
P62937,Peptidyl-prolyl cis-trans isomerase A,0.617266404
P46782,40S ribosomal protein S5,0.617228423
P30419,Glycylpeptide N-tetradecanoyltransferase 1,0.617188741
Q8WWM7,Ataxin-2-like protein,0.617188706
P17174,"Aspartate aminotransferase, cytoplasmic",0.616894431
P41250,Glycyl-tRNA synthetase,0.616877327
O75083,WD repeat-containing protein 1,0.616813205
Q13148,TAR DNA-binding protein 43,0.616673345
Q15149,Plectin,0.616577138
O60716,Catenin delta-1,0.616549306
P05455,Lupus La protein,0.615968065
Q9Y3U8,60S ribosomal protein L36,0.615842356
P34932,Heat shock 70 kDa protein 4,0.615769991
P28072,Proteasome subunit beta type-6,0.615617177
Q8TAA9,Vang-like protein 1,0.615469398
Q96A57,UPF0414 transmembrane protein C20orf30,0.615448713
Q6UW02,Cytochrome P450 20A1,0.615003608
Q99613,Eukaryotic translation initiation factor 3 subunit C,0.614957277
Q13011,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",0.614879345
Q9UNF0,Protein kinase C and casein kinase substrate in neurons protein 2,0.614617718
P61247,40S ribosomal protein S3a,0.614521967
Q8N163,Protein KIAA1967,0.61448075
Q15293,Reticulocalbin-1,0.614430884
Q14847,LIM and SH3 domain protein 1,0.61436561
P51114,Fragile X mental retardation syndrome-related protein 1,0.614249493
P46779,60S ribosomal protein L28,0.614160379
Q15631,Translin,0.614058721
P49720,Proteasome subunit beta type-3,0.614040461
Q99598,Translin-associated protein X,0.613905711
O14737,Programmed cell death protein 5,0.613779432
O00273,DNA fragmentation factor subunit alpha,0.613565643
P61978,Heterogeneous nuclear ribonucleoprotein K,0.613548944
O75874,Isocitrate dehydrogenase [NADP] cytoplasmic,0.613481712
P40925,"Malate dehydrogenase, cytoplasmic",0.613432047
P10599,Thioredoxin,0.61342648
Q92688,Acidic leucine-rich nuclear phosphoprotein 32 family member B,0.613338353
Q08752,Peptidyl-prolyl cis-trans isomerase D,0.612841994
Q07955,Serine/arginine-rich splicing factor 1,0.612724343
P36952,Serpin B5,0.612546968
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1,0.612343783
Q01813,6-phosphofructokinase type C,0.612119995
Q16851,UTP--glucose-1-phosphate uridylyltransferase,0.611271993
P05787,"Keratin, type II cytoskeletal 8",0.611039289
P61604,"10 kDa heat shock protein, mitochondrial",0.610682179
O43242,26S proteasome non-ATPase regulatory subunit 3,0.610660139
P14174,Macrophage migration inhibitory factor,0.610651539
Q96DG6,Carboxymethylenebutenolidase homolog,0.610638123
P67870,Casein kinase II subunit beta,0.610576415
Q92888,Rho guanine nucleotide exchange factor 1,0.610565282
P00813,Adenosine deaminase,0.610396305
P38646,"Stress-70 protein, mitochondrial",0.610350924
P08670,Vimentin,0.609607507
Q96TA1,Niban-like protein 1,0.60952434
P11413,Glucose-6-phosphate 1-dehydrogenase,0.609483188
P63241,Eukaryotic translation initiation factor 5A-1,0.609414714
Q9Y673,Dolichyl-phosphate beta-glucosyltransferase,0.608989952
P15121,Aldose reductase,0.608864298
Q9UKR5,Probable ergosterol biosynthetic protein 28,0.608844674
P46087,Putative ribosomal RNA methyltransferase NOP2,0.608814784
P36871,Phosphoglucomutase-1,0.608667093
P18077,60S ribosomal protein L35a,0.607956584
Q12788,Transducin beta-like protein 3,0.607598319
Q9Y696,Chloride intracellular channel protein 4,0.607368594
O14818,Proteasome subunit alpha type-7,0.607313669
P14324,Farnesyl pyrophosphate synthase,0.60714743
P00505,"Aspartate aminotransferase, mitochondrial",0.606596343
P53794,Sodium/myo-inositol cotransporter,0.606444812
Q96KB5,Lymphokine-activated killer T-cell-originated protein kinase,0.606393836
O43592,Exportin-T,0.606368115
O43865,Putative adenosylhomocysteinase 2,0.606306883
Q52LJ0,Protein FAM98B,0.606156587
P38117,Electron transfer flavoprotein subunit beta,0.605594367
P00568,Adenylate kinase isoenzyme 1,0.605522002
Q15843,NEDD8,0.605488603
P55263,Adenosine kinase,0.60544407
Q9UKK9,ADP-sugar pyrophosphatase,0.605144203
Q9HC38,Glyoxalase domain-containing protein 4,0.604659189
P37802,Transgelin-2,0.604580556
P31947,14-3-3 protein sigma,0.603665055
P23381,"Tryptophanyl-tRNA synthetase, cytoplasmic",0.603602028
Q16576,Histone-binding protein RBBP7,0.603579281
Q9NWT1,p21-activated protein kinase-interacting protein 1,0.603523616
Q99848,Probable rRNA-processing protein EBP2,0.603453837
Q15008,26S proteasome non-ATPase regulatory subunit 6,0.603352252
Q04760,Lactoylglutathione lyase,0.603019324
P41252,"Isoleucyl-tRNA synthetase, cytoplasmic",0.602493807
P61353,60S ribosomal protein L27,0.602126416
P05386,60S acidic ribosomal protein P1,0.601864194
O43684,Mitotic checkpoint protein BUB3,0.601743715
P16152,Carbonyl reductase [NADPH] 1,0.60153513
P07108,Acyl-CoA-binding protein,0.601419466
Q96FW1,Ubiquitin thioesterase OTUB1,0.601408333
P29692,Elongation factor 1-delta,0.601324835
P04818,Thymidylate synthase,0.601302569
P02545,Prelamin-A/C,0.601293032
Q9BXW7,Cat eye syndrome critical region protein 5,0.600469545
P62249,40S ribosomal protein S16,0.599870403
P62328,Thymosin beta-4,0.599716541
O43813,LanC-like protein 1,0.599320883
P33176,Kinesin-1 heavy chain,0.598764229
Q9Y5K5,Ubiquitin carboxyl-terminal hydrolase isozyme L5,0.598580534
P58107,Epiplakin,0.598213143
Q9ULC4,Malignant T cell-amplified sequence 1,0.598064281
Q12931,"Heat shock protein 75 kDa, mitochondrial",0.598024956
P00491,Purine nucleoside phosphorylase,0.598006607
O95218,Zinc finger Ran-binding domain-containing protein 2,0.597765821
Q9H074,Polyadenylate-binding protein-interacting protein 1,0.597250132
Q9UHV9,Prefoldin subunit 2,0.596999638
P52597,Heterogeneous nuclear ribonucleoprotein F,0.596905007
O43765,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,0.596614622
Q2NL82,Pre-rRNA-processing protein TSR1 homolog,0.596579251
P40429,60S ribosomal protein L13a,0.596118988
O75976,Carboxypeptidase D,0.595888478
Q8IY67,Ribonucleoprotein PTB-binding 1,0.595748243
Q32P28,Prolyl 3-hydroxylase 1,0.595524507
P27105,Erythrocyte band 7 integral membrane protein,0.595190515
P63208,S-phase kinase-associated protein 1,0.595040763
P29144,Tripeptidyl-peptidase 2,0.594322135
Q8NFY4,Semaphorin-6D,0.593951307
Q9UNH7,Sorting nexin-6,0.593423391
Q9Y6G9,Cytoplasmic dynein 1 light intermediate chain 1,0.593396315
Q16836,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",0.593192947
P60059,Protein transport protein Sec61 subunit gamma,0.592719673
P25774,Cathepsin S,0.592648756
Q9Y2W1,Thyroid hormone receptor-associated protein 3,0.592621768
P55809,"Succinyl-CoA:3-ketoacid-coenzyme A transferase 1, mitochondrial",0.592410004
P62857,40S ribosomal protein S28,0.59187286
P62333,26S protease regulatory subunit 10B,0.591711431
Q9NUQ2,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.591658734
O96019,Actin-like protein 6A,0.591610795
P30740,Leukocyte elastase inhibitor,0.591572268
P30837,"Aldehyde dehydrogenase X, mitochondrial",0.591415369
O60462,Neuropilin-2,0.591403002
P82933,"28S ribosomal protein S9, mitochondrial",0.590666976
P30048,"Thioredoxin-dependent peroxide reductase, mitochondrial",0.590568284
P30043,Flavin reductase,0.590152801
P40121,Macrophage-capping protein,0.590080143
Q13057,Bifunctional coenzyme A synthase,0.589479347
O00170,AH receptor-interacting protein,0.588958718
O43324,Eukaryotic translation elongation factor 1 epsilon-1,0.588315813
P05067,Amyloid beta A4 protein,0.588305344
O15212,Prefoldin subunit 6,0.587854834
P04792,Heat shock protein beta-1,0.586389824
P50579,Methionine aminopeptidase 2,0.585510458
Q15019,Septin-2,0.584975925
Q7L1Q6,Basic leucine zipper and W2 domain-containing protein 1,0.584675332
P26639,"Threonyl-tRNA synthetase, cytoplasmic",0.584343047
P63220,40S ribosomal protein S21,0.584082117
P48739,Phosphatidylinositol transfer protein beta isoform,0.582756693
O00541,Pescadillo homolog,0.58236522
O00764,Pyridoxal kinase,0.581702803
P15374,Ubiquitin carboxyl-terminal hydrolase isozyme L3,0.581068218
Q14534,Squalene monooxygenase,0.581009489
Q06210,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1,0.58096802
Q29RF7,Sister chromatid cohesion protein PDS5 homolog A,0.580774687
Q05682,Caldesmon,0.580223049
Q96DH6,RNA-binding protein Musashi homolog 2,0.580157775
P21980,Protein-glutamine gamma-glutamyltransferase 2,0.579902012
Q5SSJ5,Heterochromatin protein 1-binding protein 3,0.579803753
Q14914,Prostaglandin reductase 1,0.578989165
P37837,Transaldolase,0.578593582
O95336,6-phosphogluconolactonase,0.578273818
P42126,"Enoyl-CoA delta isomerase 1, mitochondrial",0.577756774
P78417,Glutathione S-transferase omega-1,0.577605834
Q6XQN6,Nicotinate phosphoribosyltransferase,0.577594701
Q13619,Cullin-4A,0.576770854
P08195,4F2 cell-surface antigen heavy chain,0.576259258
O94874,E3 UFM1-protein ligase 1,0.575935874
Q14232,Translation initiation factor eIF-2B subunit alpha,0.575586761
P50454,Serpin H1,0.575241232
Q09161,Nuclear cap-binding protein subunit 1,0.57513341
P04080,Cystatin-B,0.574867099
Q6NXE6,Armadillo repeat-containing protein 6,0.573800298
P62917,60S ribosomal protein L8,0.573191572
P61764,Syntaxin-binding protein 1,0.571961368
Q9Y383,Putative RNA-binding protein Luc7-like 2,0.571438114
O43837,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",0.571154598
P61619,Protein transport protein Sec61 subunit alpha isoform 1,0.570569735
P06454,Prothymosin alpha,0.570470636
P26447,Protein S100-A4,0.570369603
P28340,DNA polymerase delta catalytic subunit,0.569829677
P00966,Argininosuccinate synthase,0.56906301
Q9H4L4,Sentrin-specific protease 3,0.567841119
A6NDG6,Phosphoglycolate phosphatase,0.567711148
P14550,Alcohol dehydrogenase [NADP+],0.566412345
P43487,Ran-specific GTPase-activating protein,0.565609953
Q99439,Calponin-2,0.565243052
Q5T3I0,G patch domain-containing protein 4,0.564057351
P53999,Activated RNA polymerase II transcriptional coactivator p15,0.56247579
P33993,DNA replication licensing factor MCM7,0.562000287
P63165,Small ubiquitin-related modifier 1,0.561080114
Q04837,"Single-stranded DNA-binding protein, mitochondrial",0.560902184
Q01469,"Fatty acid-binding protein, epidermal",0.559831971
Q9NQG5,Regulation of nuclear pre-mRNA domain-containing protein 1B,0.55975788
Q8WXX5,DnaJ homolog subfamily C member 9,0.558943779
Q92823,Neuronal cell adhesion molecule,0.55893471
Q0VDF9,Heat shock 70 kDa protein 14,0.557622386
Q8TDN4,CDK5 and ABL1 enzyme substrate 1,0.557554635
P36776,"Lon protease homolog, mitochondrial",0.556839579
P62273,40S ribosomal protein S29,0.556664806
Q9GZU7,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,0.555595633
P31327,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",0.554346547
P28288,ATP-binding cassette sub-family D member 3,0.553736016
Q16658,Fascin,0.553532192
O75521,"Enoyl-CoA delta isomerase 2, mitochondrial",0.553426784
P52888,Thimet oligopeptidase,0.55232628
P06703,Protein S100-A6,0.549307801
P25788,Proteasome subunit alpha type-3,0.548966016
P41440,Folate transporter 1,0.548606975
P12429,Annexin A3,0.548057001
P49916,DNA ligase 3,0.547222853
P24666,Low molecular weight phosphotyrosine protein phosphatase,0.544389769
P06730,Eukaryotic translation initiation factor 4E,0.544008825
Q92621,Nuclear pore complex protein Nup205,0.54027276
Q8NBU5,ATPase family AAA domain-containing protein 1,0.540051201
Q09028,Histone-binding protein RBBP4,0.538812102
Q9NPF0,CD320 antigen,0.537252915
P38159,Heterogeneous nuclear ribonucleoprotein G,0.536082665
Q96T76,MMS19 nucleotide excision repair protein homolog,0.534505305
Q9BXP5,Serrate RNA effector molecule homolog,0.533541151
Q13884,Beta-1-syntrophin,0.533387664
