Accession,Description,Experiment 1,Experiment 2,Experiment 3,Mitochondrial?,Signal Peptide?,Type II?,Type III?,Multi TM? 
Q9Y5P6,Mannose-1-phosphate guanyltransferase beta,,1.039794213,,,,,,
Q9UBT2,SUMO-activating enzyme subunit 2,,0.950105926,0.634033789,,,,,
Q9NV06,DDB1- and CUL4-associated factor 13,,0.726014385,,,,,,
P49736,DNA replication licensing factor MCM2,,1.03693915,0.690520581,,,,,
P61019,Ras-related protein Rab-2A,1.055278551,1.135773812,1.073379817,,,,,
Q6DKI1,60S ribosomal protein L7-like 1,,1.236974462,,,,,,
P19256,Lymphocyte function-associated antigen 3,1.571595604,,,,1,,,
P58107,Epiplakin,,0.968443456,0.598213143,,,,,
Q9UDX5,Mitochondrial fission process protein 1,0.904697737,,0.725224749,1,,,,1
Q96D96,Voltage-gated hydrogen channel 1,1.245943069,0.918460626,0.747908375,,,,,1
P49643,DNA primase large subunit,,1.023745869,,,,,,
P61011,Signal recognition particle 54 kDa protein,,0.989131533,0.712466253,,,,,
P13798,Acylamino-acid-releasing enzyme,,0.931841556,0.674669487,,,,,
Q13510,Acid ceramidase,,,1.100712578,,1,,,
Q06203,Amidophosphoribosyltransferase,,1.062461057,0.709303822,,,,,
P08962,CD63 antigen,,,1.939386099,,,,,1
O14981,TATA-binding protein-associated factor 172,,1.0111556,,,,,,
O14980,Exportin-1,0.872499509,0.9692577,0.65160993,,,,,
P36542,"ATP synthase subunit gamma, mitochondrial",0.943430127,0.951022455,0.739269297,1,,,,
P36543,V-type proton ATPase subunit E 1,0.880623162,0.936345393,0.723938879,,,,,
Q9Y5K5,Ubiquitin carboxyl-terminal hydrolase isozyme L5,,0.95593055,0.598580534,,,,,
Q8NB49,Probable phospholipid-transporting ATPase IG,1.024057949,1.052865171,0.759152774,,,,,1
Q96PU8,Protein quaking,,1.169421176,,,,,,
Q8NG11,Tetraspanin-14,1.356528319,,,,,,,1
Q16706,Alpha-mannosidase 2,1.641211096,1.90879519,1.886842231,,,1,,
P28838,Cytosol aminopeptidase,,0.996421701,0.654870115,,,,,
P62306,Small nuclear ribonucleoprotein F,,1.078481161,0.774848613,,,,,
Q92783,Signal transducing adapter molecule 1,,0.931377985,,,,,,
Q9NR30,Nucleolar RNA helicase 2,1.140285318,1.001003054,0.714080548,,,,,
P52789,Hexokinase-2,1.034383339,1.03234682,0.770781263,1,,,,
P34896,"Serine hydroxymethyltransferase, cytosolic",,1.071875537,,,,,,
P34897,"Serine hydroxymethyltransferase, mitochondrial",0.808130319,0.91061887,0.627459712,1,,,,
P54886,Delta-1-pyrroline-5-carboxylate synthase,,0.941311684,0.677152161,1,,,,
Q9BQ95,"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial",0.997133421,1.056699544,1.1271741,1,,,,
P13796,Plastin-2,1.037348876,1.562505679,0.72995043,,,,,
P13797,Plastin-3,,0.965334925,0.646937015,,,,,
Q13601,KRR1 small subunit processome component homolog,,0.998854022,1.077437064,,,,,
P07108,Acyl-CoA-binding protein,,0.930123822,0.601419466,,,,,
Q96L92,Sorting nexin-27,1.072588763,,0.682262488,,,,,
Q9Y2L1,Exosome complex exonuclease RRP44,,0.9018444,,,,,,
Q9NUJ3,T-complex protein 11-like protein 1,,0.715318231,,,,,,
P34949,Mannose-6-phosphate isomerase,,0.863404718,,,,,,
Q9BYT8,"Neurolysin, mitochondrial",,0.913240887,,1,,,,
A0FGR8,Extended synaptotagmin-2,1.003910847,1.186060569,0.796323308,,,,,1
O14672,Disintegrin and metalloproteinase domain-containing protein 10,1.357522119,,1.379713591,,1,,,
Q15436,Protein transport protein Sec23A,1.084321837,0.972824876,0.718338946,,,,,
Q15437,Protein transport protein Sec23B,0.966979431,1.035533748,0.74571516,,,,,
Q15435,Protein phosphatase 1 regulatory subunit 7,,1.07669695,0.640536346,,,,,
P50579,Methionine aminopeptidase 2,,1.001894769,0.585510458,,,,,
Q16630,Cleavage and polyadenylation specificity factor subunit 6,,1.284461344,3.884502536,,,,,
P09960,Leukotriene A-4 hydrolase,,0.987211917,0.675181608,,,,,
Q9UNN5,FAS-associated factor 1,,1.281983712,0.69875588,,,,,
P50570,Dynamin-2,0.846523821,0.965664408,0.740658565,,,,,
Q9BTT0,Acidic leucine-rich nuclear phosphoprotein 32 family member E,,0.977051602,0.654301539,,,,,
P0CW18,Putative serine protease 56,,1.201736911,0.698423739,,1,,,
Q9NVI7,ATPase family AAA domain-containing protein 3A,0.882628254,1.12930294,0.799559144,,,,,
Q7Z434,Mitochondrial antiviral-signaling protein,1.304361916,,1.269609095,1,,,,
Q9NVI1,Fanconi anemia group I protein,,1.074200701,,,,,,
P30085,UMP-CMP kinase,,1.029498959,0.666820674,,,,,
P30084,"Enoyl-CoA hydratase, mitochondrial",,0.932569797,0.637763367,1,,,,
P30086,Phosphatidylethanolamine-binding protein 1,0.950742086,1.112812155,0.700442539,,,,,
Q04206,Transcription factor p65,,0.948552406,,,,,,
O15027,Protein transport protein Sec16A,,0.853312837,,,,,,
P06744,Glucose-6-phosphate isomerase,1.186597217,0.893272146,0.627982966,,,,,
O15020,"Spectrin beta chain, brain 2",0.9336169,0.842371237,1.050423221,,,,,
Q0VDF9,Heat shock 70 kDa protein 14,,1.017200828,0.557622386,,,,,
Q96BW9,"MMP37-like protein, mitochondrial",,,0.757373194,1,,,,
P06748,Nucleophosmin,1.023458388,1.003045081,0.672131148,,,,,
Q9H6V9,UPF0554 protein C2orf43,,,0.767876011,,,,,
P49821,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",0.826905221,0.790578618,0.724417601,1,,,,
Q9HC21,Mitochondrial thiamine pyrophosphate carrier,,0.852312184,1.056005803,1,,,,1
Q29RF7,Sister chromatid cohesion protein PDS5 homolog A,1.086348844,1.004034884,0.580774687,,,,,
Q86WB0,Nuclear-interacting partner of ALK,,1.029765401,,,,,,
Q9NQW7,Xaa-Pro aminopeptidase 1,,1.017990216,,,,,,
Q9UN86,Ras GTPase-activating protein-binding protein 2,1.099017021,0.802762432,,,,,,
Q9Y394,Dehydrogenase/reductase SDR family member 7,0.858230876,,0.768284874,,1,,,
P63151,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,,0.942069642,0.759283838,,,,,
P23921,Ribonucleoside-diphosphate reductase large subunit,,1.007798047,0.705174093,,,,,
Q9NZ08,Endoplasmic reticulum aminopeptidase 1,,,1.105435802,,,1,,
O00299,Chloride intracellular channel protein 1,1.061841173,0.99772564,0.670251851,,,,,
Q96QD8,Sodium-coupled neutral amino acid transporter 2,0.829505086,0.946604908,0.630288524,,,,,1
Q96EP5,DAZ-associated protein 1,,1.026934113,1.215289629,,,,,
Q07955,Serine/arginine-rich splicing factor 1,0.99511383,1.030714982,0.612724343,,,,,
P52333,Tyrosine-protein kinase JAK3,2.479210046,,2.450213959,,,,,
Q9P000,COMM domain-containing protein 9,,1.062308428,,,,,,
P57740,Nuclear pore complex protein Nup107,,0.809854827,,,,,,
P51648,Fatty aldehyde dehydrogenase,0.992535123,0.771165177,1.303099492,,,,,
Q969P0,Immunoglobulin superfamily member 8,0.89299779,,0.673168965,,1,,,
Q9UBH6,Xenotropic and polytropic retrovirus receptor 1,1.135923731,,1.055517557,,,,,1
O95202,"LETM1 and EF-hand domain-containing protein 1, mitochondrial",0.92753202,1.061117445,0.820537519,1,,,,
P56182,Ribosomal RNA processing protein 1 homolog A,,1.137426459,1.058233562,,,,,
P31689,DnaJ homolog subfamily A member 1,,1.012880692,0.751884553,,,,,
Q15043,Zinc transporter ZIP14,1.336067542,,1.233532909,,1,,,1
Q15042,Rab3 GTPase-activating protein catalytic subunit,,1.111299384,,,,,,
P60059,Protein transport protein Sec61 subunit gamma,,,0.592719673,,,,,
Q15046,Lysyl-tRNA synthetase,0.935349396,0.982116541,0.691253743,1,,,,
Q12800,Alpha-globin transcription factor CP2,,0.896315769,,,,,,
Q9H7B2,Ribosome production factor 2 homolog,,1.184793932,0.757877349,,,,,
O15118,Niemann-Pick C1 protein,1.791847938,1.474572149,1.723926641,,1,,,1
Q13868,Exosome complex component RRP4,,1.083147796,0.735309155,,,,,
Q13867,Bleomycin hydrolase,,0.952047927,0.644750038,,,,,
P49916,DNA ligase 3,,0.819755836,0.547222853,,,,,
P49915,GMP synthase [glutamine-hydrolyzing],1.100865986,1.059227467,0.701275439,,,,,
Q9Y2Q5,Ragulator complex protein LAMTOR2,1.135693656,1.048085581,1.097454367,,,,,
P57105,Synaptojanin-2-binding protein,0.949220681,,,1,,,,
Q14919,Dr1-associated corepressor,,0.972275633,,,,,,
Q7KZ85,Transcription elongation factor SPT6,,1.132181579,,,,,,
P17706,Tyrosine-protein phosphatase non-receptor type 2,,1.229012904,,,,,,
Q01780,Exosome component 10,1.136318788,1.038322168,0.76437365,,,,,
P31350,Ribonucleoside-diphosphate reductase subunit M2,,1.272922481,1.450164824,,,,,
P18206,Vinculin,,0.974670725,0.643212483,,,,,
Q58FF6,Putative heat shock protein HSP 90-beta 4,,,0.680230454,,,,,
Q8TBP6,Solute carrier family 25 member 40,,1.412839329,1.064372451,1,,,,1
O60502,Bifunctional protein NCOAT,,0.8913236,,,,,,
Q10469,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",0.969734843,,1.112826613,,,1,,
Q8TDW0,Leucine-rich repeat-containing protein 8C,1.212285215,,1.77991255,,,,,1
O60506,Heterogeneous nuclear ribonucleoprotein Q,0.967460887,1.014927642,0.62947181,,,,,
P05198,Eukaryotic translation initiation factor 2 subunit 1,0.938499428,0.956907771,0.621342091,,,,,
Q96AX2,Ras-related protein Rab-37,0.808160644,,,,,,,
Q96AX1,Vacuolar protein sorting-associated protein 33A,,0.924200629,,,,,,
P07437,Tubulin beta chain,1.074988638,1.0334047,1.063174519,,,,,
P39210,Protein Mpv17,,0.936906278,0.738009611,1,,,,1
Q9Y490,Talin-1,1.079477294,0.991250734,0.720370731,,,,,
Q86W56,Poly(ADP-ribose) glycohydrolase,,0.96478063,,,,,,
Q01650,Large neutral amino acids transporter small subunit 1,0.853096454,0.927258263,0.635592418,,,,,1
P39748,Flap endonuclease 1,1.061177745,0.988650093,0.693957077,1,,,,
P43243,Matrin-3,0.967764575,0.990609984,0.678827688,,,,,
P08107,Heat shock 70 kDa protein 1A/1B,0.844969869,0.922443798,0.652352689,,,,,
P23381,"Tryptophanyl-tRNA synthetase, cytoplasmic",,0.957915409,0.603602028,,,,,
P49005,DNA polymerase delta subunit 2,,0.823023911,0.650098806,,,,,
P49006,MARCKS-related protein,1.081290797,,,,,,,
O75915,PRA1 family protein 3,1.07861227,1.645909549,1.319002993,,,,,1
O15294,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,,1.06136321,,1,,,,
Q9UHY7,Enolase-phosphatase E1,,0.926420426,0.647639501,,,,,
Q9UGI8,Testin,,0.978959952,0.662723705,,,,,
Q9UK22,F-box only protein 2,,0.920195884,0.659679574,,,,,
Q5T9L3,Protein wntless homolog,1.741720404,,1.538497836,,1,,,1
Q9Y3D9,"28S ribosomal protein S23, mitochondrial",,1.087481529,0.709494884,1,,,,
Q9H3H5,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase,,,0.707385878,,,,,1
P27701,CD82 antigen,2.071003599,2.334807669,2.138539314,,,,,1
Q96SI9,Spermatid perinuclear RNA-binding protein,,0.901594719,,,,,,
P00374,Dihydrofolate reductase,,1.106608805,0.650447715,,,,,
P27708,CAD protein,1.077203338,0.940622838,0.636623361,,,,,
Q8TEQ6,Gem-associated protein 5,,1.066169552,0.700576136,,,,,
Q9UKQ2,Disintegrin and metalloproteinase domain-containing protein 28,2.327671756,,2.994571396,,1,,,
Q9Y4L1,Hypoxia up-regulated protein 1,0.881278365,1.013492095,0.71708014,,1,,,
P00390,"Glutathione reductase, mitochondrial",,1.010096269,0.37924171,1,,,,
Q13283,Ras GTPase-activating protein-binding protein 1,1.137669544,0.933963957,0.648601659,,,,,
Q8NEJ9,Neuroguidin,,0.991920176,0.718578505,,,,,
O75608,Acyl-protein thioesterase 1,1.201699752,0.999915163,0.714915528,,,,,
Q709C8,Vacuolar protein sorting-associated protein 13C,0.883048808,1.017000413,0.809952963,,,,,
Q92643,GPI-anchor transamidase,1.426629062,,1.715945206,,1,,,
Q13049,E3 ubiquitin-protein ligase TRIM32,1.096536341,,,,,,,
Q13045,Protein flightless-1 homolog,,1.00054828,0.67341145,,,,,
O75607,Nucleoplasmin-3,,0.998033645,,,,,,
O60287,Nucleolar pre-ribosomal-associated protein 1,,1.078635721,,,,,,
Q9NX08,COMM domain-containing protein 8,,0.976620594,,,,,,
Q14554,Protein disulfide-isomerase A5,1.055080923,,,,1,,,
Q14558,Phosphoribosyl pyrophosphate synthase-associated protein 1,,0.844559338,,,,,,
O75592,Probable E3 ubiquitin-protein ligase MYCBP2,,0.867895044,,,,,,
Q8WX92,Negative elongation factor B,,1.034906041,,,,,,
Q86VR2,Protein FAM134C,1.030124301,,,,,,,1
Q02223,Tumor necrosis factor receptor superfamily member 17,0.99174104,,0.7788288,,,,1,
O43505,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase",,,4.445499034,,,1,,
O43504,Hepatitis B virus X-interacting protein,1.269872233,1.026739873,1.252670054,,,,,
Q9GZZ1,"N-alpha-acetyltransferase 50, NatE catalytic subunit",,0.99123878,0.691710268,,,,,
O96008,Mitochondrial import receptor subunit TOM40 homolog,0.976980407,1.230895975,0.763027081,1,,,,1
Q9Y5Z9,UbiA prenyltransferase domain-containing protein 1,1.079977061,,1.120209199,1,,,,1
O43290,U4/U6.U5 tri-snRNP-associated protein 1,1.155814072,1.250661117,,,,,,
O96000,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,0.924197334,,1.352480223,1,,,,
Q9UHA4,Ragulator complex protein LAMTOR3,1.242249573,,1.307911913,,,,,
O96005,Cleft lip and palate transmembrane protein 1,2.10730642,1.486358886,1.735245797,,,,,1
P62847,40S ribosomal protein S24,,1.146727042,0.682720049,,,,,
O43617,Trafficking protein particle complex subunit 3,,0.970915802,,,,,,
Q9H4M9,EH domain-containing protein 1,0.972193975,1.10457867,0.793336859,,,,,
P78417,Glutathione S-transferase omega-1,,0.949667049,0.577605834,,,,,
P61313,60S ribosomal protein L15,0.854140844,0.980714336,0.620724206,,,,,
P15153,Ras-related C3 botulinum toxin substrate 2,1.137874172,,1.267856535,,,,,
P15151,Poliovirus receptor,0.896646197,,,,1,,,
P49354,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,,1.028806713,,,,,,
P11498,"Pyruvate carboxylase, mitochondrial",,0.906442394,,1,,,,
Q13263,Transcription intermediary factor 1-beta,1.023592768,1.018727861,0.662235993,,,,,
Q99417,C-Myc-binding protein,,0.851818166,,1,,,,
Q16822,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",,0.866162443,,1,,,,
O14662,Syntaxin-16,1.078729185,,1.088242448,,,,,
O75131,Copine-3,1.112023753,1.264451193,1.132385463,,,,,
Q00653,Nuclear factor NF-kappa-B p100 subunit,,0.911671094,,,,,,
Q02790,Peptidyl-prolyl cis-trans isomerase FKBP4,,0.94624395,0.634423446,,,,,
O60353,Frizzled-6,,,1.104715506,,1,,,1
P31939,Bifunctional purine biosynthesis protein PURH,,1.00073554,0.629385733,,,,,
Q8WUK0,Protein-tyrosine phosphatase mitochondrial 1,,,1.05118002,1,,,,
Q16555,Dihydropyrimidinase-related protein 2,,0.999704477,0.670163148,,,,,
Q8TEM1,Nuclear pore membrane glycoprotein 210,0.983771152,0.862736173,0.814516217,,1,,,
Q9BUR5,Apolipoprotein O,0.236709887,,0.437694917,,1,,,
P61006,Ras-related protein Rab-8A,1.011221578,,0.796307953,,,,,
P53621,Coatomer subunit alpha,1.036264723,0.973376631,0.764072787,,,,,
P61009,Signal peptidase complex subunit 3,1.373973117,,1.524271112,,,1,,
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1,0.939573446,0.9366391,0.612343783,,,,,
Q15738,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",1.14240405,1.358167878,1.281065851,,,,,
P17568,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,,,0.781844581,1,,,,
Q53H96,Pyrroline-5-carboxylate reductase 3,,0.964986705,,,,,,
P36957,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",1.024151883,1.056652266,1.111711715,1,,,,
P36952,Serpin B5,,0.952194227,0.612546968,,,,,
Q96KB5,Lymphokine-activated killer T-cell-originated protein kinase,,1.197257284,0.606393836,,,,,
O15440,Multidrug resistance-associated protein 5,0.777750904,,,,,,,1
P05091,"Aldehyde dehydrogenase, mitochondrial",,0.777727669,,1,,,,
Q96A54,Adiponectin receptor protein 1,1.120053772,,,,,,,1
P54136,"Arginyl-tRNA synthetase, cytoplasmic",0.996363163,0.981532395,0.69514265,,,,,
Q96A57,UPF0414 transmembrane protein C20orf30,0.545933352,,0.615448713,,,,,1
Q9NY33,Dipeptidyl peptidase 3,,1.024535401,0.709304462,,,,,
Q86YV0,RAS protein activator like-3,2.299792181,,,,,,,
Q96FQ6,Protein S100-A16,,0.785729523,,,,,,
Q9Y5L0,Transportin-3,,1.020734952,0.782120293,,,,,
Q9Y5L4,Mitochondrial import inner membrane translocase subunit Tim13,4.124486861,0.935590646,1.101318216,1,,,,
Q86YV9,Hermansky-Pudlak syndrome 6 protein,,0.938981345,,,,,,
O43674,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",,,1.134403255,1,,,,
Q8N7H5,RNA polymerase II-associated factor 1 homolog,,0.813001404,,,,,,
Q9BY67,Cell adhesion molecule 1,1.618843106,,1.643147027,,1,,,
O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",0.774154763,1.071716016,0.621759581,,,,,
P30520,Adenylosuccinate synthetase isozyme 2,,1.05710902,0.710083776,,,,,
Q8NE01,Metal transporter CNNM3,1.289549746,,1.384969027,,,,,1
Q13671,Ras and Rab interactor 1,,1.011686944,,,,,,
P49748,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",0.882872686,0.893685212,0.711758663,1,,,,
P38646,"Stress-70 protein, mitochondrial",0.78841833,0.9133386,0.610350924,1,,,,
Q9P0U1,Mitochondrial import receptor subunit TOM7 homolog,1.042234075,,,1,,,,
P49588,"Alanyl-tRNA synthetase, cytoplasmic",0.840597121,0.975589191,0.640505622,,,,,
P49589,"Cysteinyl-tRNA synthetase, cytoplasmic",,0.985826073,0.652106879,,,,,
Q15427,Splicing factor 3B subunit 4,,0.968766184,0.630247375,,,,,
P50897,Palmitoyl-protein thioesterase 1,,1.131675478,1.417957552,,1,,,
Q02809,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",,0.986539445,0.735684266,,1,,,
Q9HCC0,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",,1.023074582,,1,,,,
P09972,Fructose-bisphosphate aldolase C,1.232143443,1.025106098,0.646191099,,,,,
Q96S55,ATPase WRNIP1,,0.921863391,,,,,,
Q7L1W4,Leucine-rich repeat-containing protein 8D,1.083588192,,1.237148741,,,,,1
Q9NQ11,Probable cation-transporting ATPase 13A2,0.974482745,,1.157402915,,,,,1
Q7Z403,Transmembrane channel-like protein 6,1.022813569,,,,,,,1
Q8NBS9,Thioredoxin domain-containing protein 5,0.724261411,0.930744867,0.68879735,,1,,,
Q9HCS7,Pre-mRNA-splicing factor SYF1,,0.662051558,,,,,,
Q6ZVF9,G protein-regulated inducer of neurite outgrowth 3,1.284889011,,,,,,,
Q9Y6X9,MORC family CW-type zinc finger protein 2,,0.906461423,,,,,,
P48507,Glutamate--cysteine ligase regulatory subunit,,0.952265539,,,,,,
P06733,Alpha-enolase,1.102735346,0.997963336,0.675770868,,,,,
P06730,Eukaryotic translation initiation factor 4E,,,0.544008825,,,,,
P55084,"Trifunctional enzyme subunit beta, mitochondrial",0.903214642,0.995844751,0.785115088,1,,,,
P00505,"Aspartate aminotransferase, mitochondrial",0.761054927,1.085138214,0.606596343,1,,,,
P55735,Protein SEC13 homolog,,0.843616333,0.636643735,,,,,
P48509,CD151 antigen,1.138193524,,,,,,,1
Q9BRX8,UPF0765 protein C10orf58,,0.985284057,,,,,,
Q9BRX2,Protein pelota homolog,,1.032630996,,,,,,
P25398,40S ribosomal protein S12,0.961024524,0.983195101,0.672394686,,,,,
Q96NW7,Leucine-rich repeat-containing protein 7,0.699704445,,,,,,,
Q9HB90,Ras-related GTP-binding protein C,1.147731648,,1.124707811,,,,,
Q96D46,60S ribosomal export protein NMD3,,0.859004229,0.668535633,,,,,
Q8NCA5,Protein FAM98A,,1.09454257,,,,,,
Q4J6C6,Prolyl endopeptidase-like,,0.954767656,,,,,,
Q9NR09,Baculoviral IAP repeat-containing protein 6,,1.053623821,,,,,,
P51659,Peroxisomal multifunctional enzyme type 2,1.093727089,0.974260536,0.629235437,,,,,
O95757,Heat shock 70 kDa protein 4L,,0.997812715,0.666644716,,,,,
P56192,"Methionyl-tRNA synthetase, cytoplasmic",0.600138747,1.002073112,0.679014254,,,,,
P30740,Leukocyte elastase inhibitor,,0.983231184,0.591572268,,,,,
P20701,Integrin alpha-L,1.816787166,1.86413735,1.879219749,,1,,,
P20700,Lamin-B1,0.878447634,0.905400406,0.689582232,,,,,
P55884,Eukaryotic translation initiation factor 3 subunit B,0.951409869,0.923744908,0.642489354,,,,,
P43246,DNA mismatch repair protein Msh2,,0.975498669,0.744015065,,,,,
Q8WWC4,"Uncharacterized protein C2orf47, mitochondrial",,1.044652283,0.820161986,1,,,,
P07954,"Fumarate hydratase, mitochondrial",,0.962581991,0.698668654,1,,,,
Q9BU61,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3,,,2.479665798,1,,,,
Q8NHH9,Atlastin-2,,,1.086235349,,,,,1
Q9H2G2,STE20-like serine/threonine-protein kinase,,1.049465601,,,,,,
P09429,High mobility group protein B1,,1.118327601,0.811017458,,,,,
Q9BVP2,Guanine nucleotide-binding protein-like 3,0.917106772,0.9966654,0.640641857,,,,,
Q15459,Splicing factor 3A subunit 1,,0.991791643,0.720027502,,,,,
Q13813,"Spectrin alpha chain, brain",0.944158372,0.976846508,0.684412974,,,,,
P49961,Ectonucleoside triphosphate diphosphohydrolase 1,,,1.449524339,,,,,1
P07737,Profilin-1,1.089321228,0.97455427,0.632719695,,,,,
Q9Y6C9,Mitochondrial carrier homolog 2,0.782964373,0.943228871,0.695371427,1,,,,1
P28068,"HLA class II histocompatibility antigen, DM beta chain",1.699741391,,1.35451723,,1,,,
P28066,Proteasome subunit alpha type-5,,0.995756474,0.640079045,,,,,
P28067,"HLA class II histocompatibility antigen, DM alpha chain",1.860889707,,2.190626299,,1,,,
P28065,Proteasome subunit beta type-9,,,0.643313178,,,,,
P28062,Proteasome subunit beta type-8,,0.982079038,,,,,,
Q9NZJ7,Mitochondrial carrier homolog 1,,,0.430700548,1,,,,1
P52294,Importin subunit alpha-1,,0.809659265,0.674202524,,,,,
P20674,"Cytochrome c oxidase subunit 5A, mitochondrial",,1.338267321,1.100459722,1,,,,
P52292,Importin subunit alpha-2,1.418108357,1.117236481,1.062790597,,,,,
P00966,Argininosuccinate synthase,,0.950897615,0.56906301,,,,,
P62910,60S ribosomal protein L32,0.884863042,0.945230217,0.624771076,,,,,
Q8NBJ5,Procollagen galactosyltransferase 1,,0.961366344,0.793921423,,1,,,
P62913,60S ribosomal protein L11,0.983704262,1.090584695,0.65784126,,,,,
O76003,Glutaredoxin-3,,1.029341602,0.664955885,,,,,
Q03518,Antigen peptide transporter 1,0.967869751,,1.069470076,,,,,1
P62917,60S ribosomal protein L8,1.073092441,0.922619265,0.573191572,,,,,
Q9Y487,V-type proton ATPase 116 kDa subunit a isoform 2,0.955268928,,1.20293678,,,,,1
P55957,BH3-interacting domain death agonist,0.989549409,0.954566679,0.785348889,1,,,,
Q9UKV8,Protein argonaute-2,,1.109795127,,,,,,
Q15382,GTP-binding protein Rheb,,0.959458075,0.794628295,,,,,
Q10471,Polypeptide N-acetylgalactosaminyltransferase 2,0.829643521,0.899361047,0.687906705,,,1,,
P15170,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,,0.891342067,0.676528709,,,,,
Q10472,Polypeptide N-acetylgalactosaminyltransferase 1,1.635418804,,1.883175275,,,1,,
O95870,Abhydrolase domain-containing protein 16A,0.807950649,,0.744779983,,,,,1
O60512,"Beta-1,4-galactosyltransferase 3",,,3.412261765,,,1,,
Q96T49,Protein phosphatase 1 regulatory inhibitor subunit 16B,1.133727889,1.098592292,0.806146962,,,,,
P50552,Vasodilator-stimulated phosphoprotein,,1.298308272,,,,,,
Q00796,Sorbitol dehydrogenase,,1.001405592,0.677851598,1,,,,
O15270,Serine palmitoyltransferase 2,0.85683686,,,,,,,
Q9H0U4,Ras-related protein Rab-1B,,1.122045783,1.091359197,,,,,
Q9Y375,"Complex I intermediate-associated protein 30, mitochondrial",0.853212181,,0.705842077,1,,,,
Q9Y376,Calcium-binding protein 39,,0.933469871,0.691913014,,,,,
Q9NTJ5,Phosphatidylinositide phosphatase SAC1,0.98640205,1.2515453,0.816749701,,,,,1
P08174,Complement decay-accelerating factor,,,0.502262504,,1,,,
P23396,40S ribosomal protein S3,0.936554854,0.930905376,0.630025884,,,,,
P00491,Purine nucleoside phosphorylase,,0.982446475,0.598006607,,,,,
P00492,Hypoxanthine-guanine phosphoribosyltransferase,,0.921375706,0.647866626,,,,,
P35268,60S ribosomal protein L22,0.825414422,1.118218928,0.733296223,,,,,
Q9Y3E0,Vesicle transport protein GOT1B,0.864607006,0.922094394,0.748181135,,,,,1
Q9Y3E5,"Peptidyl-tRNA hydrolase 2, mitochondrial",0.998933327,1.201594236,0.816761632,1,,,,
Q01130,Serine/arginine-rich splicing factor 2,,1.007548239,0.679312303,,,,,
Q10713,Mitochondrial-processing peptidase subunit alpha,,0.839212467,,1,,,,
P14314,Glucosidase 2 subunit beta,0.960812923,1.012122735,0.676194717,,1,,,
Q969E8,Pre-rRNA-processing protein TSR2 homolog,,0.940000094,,,,,,
O60645,Exocyst complex component 3,,0.910324605,,,,,,
P00813,Adenosine deaminase,,0.933241668,0.610396305,,,,,
Q13247,Serine/arginine-rich splicing factor 6,,,0.623786497,,,,,
Q9Y570,Protein phosphatase methylesterase 1,,0.974405531,0.629641794,,,,,
P00568,Adenylate kinase isoenzyme 1,,1.032913813,0.605522002,,,,,
Q8IVS2,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial",,0.631685763,,1,,,,
Q02818,Nucleobindin-1,0.989934711,1.063619248,0.827362288,,1,,,
P00387,NADH-cytochrome b5 reductase 3,1.01404315,1.277376894,1.103615748,1,,,,
Q99471,Prefoldin subunit 5,,1.058671395,0.701096404,,,,,
Q99623,Prohibitin-2,0.825660841,0.894576926,0.684550085,1,,,,
P54920,Alpha-soluble NSF attachment protein,1.026721077,1.100313301,0.779310006,,,,,
P08397,Porphobilinogen deaminase,,1.040104736,,,,,,
P08559,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",,0.894398583,0.814761815,1,,,,
P28288,ATP-binding cassette sub-family D member 3,,0.743343035,0.553736016,,,,,1
Q9H490,Phosphatidylinositol glycan anchor biosynthesis class U protein,0.966965524,,0.805829766,,,,,1
P23246,"Splicing factor, proline- and glutamine-rich",1.058330244,0.911550709,0.663864695,,,,,
Q7KZF4,Staphylococcal nuclease domain-containing protein 1,0.99733341,0.973977715,0.681677573,,,,,
