"Accession","Species","Description","# in DB","Avg Peptide Ratio","# Peptide Ratio","# of peptides"
"Q9Y6D0","HUMAN","Selenoprotein K","1","0.959261","2","1"
"P30626","HUMAN","Sorcin","1","0.880254","3","2"
"P33908","HUMAN","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA","1","2.2833325","9","4"
"P18124","HUMAN","60S ribosomal protein L7","1","1.18637","8","4"
"P08195","HUMAN","4F2 cell-surface antigen heavy chain","1","0.724747277778","42","18"
"Q6PI48","HUMAN","Aspartyl-tRNA synthetase, mitochondrial","1","0.244393","1","1"
"Q9Y230","HUMAN","RuvB-like 2","1","0.9491455","2","2"
"Q9UI14","HUMAN","Prenylated Rab acceptor protein 1","1","1.24854866667","3","3"
"Q9UI09","HUMAN","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12","1","1.41962","2","1"
"O14569","HUMAN","Cytochrome b561 domain-containing protein 2","1","1.16981","2","1"
"P23368","HUMAN","NAD-dependent malic enzyme, mitochondrial","1","1.00061","5","3"
"Q14980","HUMAN","Nuclear mitotic apparatus protein 1","1","1.41302","1","1"
"[-O94822]","HUMAN","RING finger protein 160","1","3.00507","1","1"
"Q8NBJ5","HUMAN","Procollagen galactosyltransferase 1","1","1.1594654","8","5"
"Q15165","HUMAN","Serum paraoxonase/arylesterase 2","1","4.94967","2","1"
"P61803","HUMAN","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1","1","1.4459725","13","4"
"Q9ULC5","HUMAN","Long-chain-fatty-acid--CoA ligase 5","1","1.21574","2","1"
"P51149","HUMAN","Ras-related protein Rab-7a","1","1.2965031","20","10"
"P18433","HUMAN","Receptor-type tyrosine-protein phosphatase alpha","1","0.7226545","3","2"
"[-Q9NP92]","HUMAN","28S ribosomal protein S30, mitochondrial","1","1.09011","1","1"
"[-Q7L590]","HUMAN","Protein MCM10 homolog","1","1.01953","1","1"
"P13498","HUMAN","Cytochrome b-245 light chain","1","0.492731","2","1"
"Q969V3","HUMAN","Nicalin","1","1.19030225","12","8"
"P09110","HUMAN","3-ketoacyl-CoA thiolase, peroxisomal","1","0.85060975","9","4"
"O95573","HUMAN","Long-chain-fatty-acid--CoA ligase 3","1","1.06354666667","5","3"
"Q8NC56","HUMAN","LEM domain-containing protein 2","1","1.200069","6","3"
"Q8IV08","HUMAN","Phospholipase D3","1","1.34406","4","2"
"O43681","HUMAN","ATPase ASNA1","1","1.23081","2","1"
"P49327","HUMAN","Fatty acid synthase","1","1.32294385714","22","14"
"Q8NBJ4","HUMAN","Golgi membrane protein 1","1","5.04527","2","1"
"Q9NPA0","HUMAN","UPF0480 protein C15orf24","1","1.88529","3","2"
"Q2PZI1","HUMAN","Protein dpy-19 homolog 1","1","1.89895","2","1"
"P62424","HUMAN","60S ribosomal protein L7a","1","1.1668144","24","10"
"P07900","HUMAN","Heat shock protein HSP 90-alpha","1","1.0009214","8","5"
"Q8NBU5","HUMAN","ATPase family AAA domain-containing protein 1","1","1.62182","1","1"
"Q96CG8","HUMAN","Collagen triple helix repeat-containing protein 1","1","0.849461","4","2"
"P11940","HUMAN","Polyadenylate-binding protein 1","1","1.253385","6","4"
"Q8N7R7","HUMAN","Cyclin-Y-like protein 1","1","1.01541","1","1"
"O75340","HUMAN","Programmed cell death protein 6","1","0.787001","1","1"
"Q9P0I2","HUMAN","Transmembrane protein 111","1","1.338505","3","2"
"Q9BW92","HUMAN","Threonyl-tRNA synthetase, mitochondrial","1","1.34235","2","2"
"P14618","HUMAN","Pyruvate kinase isozymes M1/M2","1","2.323211","8","5"
"O75348","HUMAN","V-type proton ATPase subunit G 1","1","1.54247","2","1"
"Q8NHG7","HUMAN","Small VCP/p97-interacting protein","1","1.03217","4","1"
"Q99720","HUMAN","Sigma non-opioid intracellular receptor 1","1","1.351835","4","2"
"P27824","HUMAN","Calnexin","1","1.31040761538","39","13"
"P25685","HUMAN","DnaJ homolog subfamily B member 1","1","0.850042","2","1"
"Q86UE4","HUMAN","Protein LYRIC","1","1.1844835","22","10"
"Q08722","HUMAN","Leukocyte surface antigen CD47","1","1.57474666667","7","3"
"Q14156","HUMAN","Protein EFR3 homolog A","1","1.12599133333","5","3"
"[-Q9P283]","HUMAN","Semaphorin-5B","1","1.06468","1","1"
"Q9UDW1","HUMAN","Cytochrome b-c1 complex subunit 9","1","1.14315","2","1"
"Q8WVX9","HUMAN","Fatty acyl-CoA reductase 1","1","0.683793","2","1"
"Q14152","HUMAN","Eukaryotic translation initiation factor 3 subunit A","1","0.8212645","3","2"
"Q86V25","HUMAN","Vasohibin-2","1","73.9814","1","1"
"O94886","HUMAN","Transmembrane protein 63A","1","0.421507","3","2"
"Q68D91","HUMAN","Metallo-beta-lactamase domain-containing protein 2","1","1.0076845","6","4"
"P13612","HUMAN","Integrin alpha-4","1","2.13065666667","12","6"
"P21281","HUMAN","V-type proton ATPase subunit B, brain isoform","1","0.9643045","4","2"
"Q9UHQ9","HUMAN","NADH-cytochrome b5 reductase 1","1","1.19335","1","1"
"O75387","HUMAN","Large neutral amino acids transporter small subunit 3","1","0.719643","1","1"
"P83731","HUMAN","60S ribosomal protein L24","1","1.16399175","7","4"
"A2A3L6","HUMAN","Tetratricopeptide repeat protein 24","1","1.14165","1","1"
"P04920","HUMAN","Anion exchange protein 2","1","0.886238","3","2"
"Q9P273","HUMAN","Teneurin-3","1","3.1308","2","1"
"Q6UW68","HUMAN","Transmembrane protein 205","1","1.12155","3","1"
"P40925","HUMAN","Malate dehydrogenase, cytoplasmic","1","1.5785125","2","2"
"P62861","HUMAN","40S ribosomal protein S30","1","1.15172","2","1"
"Q8N5N7","HUMAN","39S ribosomal protein L50, mitochondrial","1","0.82232","1","1"
"P40926","HUMAN","Malate dehydrogenase, mitochondrial","1","1.08085011765","38","17"
"P19338","HUMAN","Nucleolin","1","1.0453976","7","5"
"Q9BPX5","HUMAN","Actin-related protein 2/3 complex subunit 5-like protein","1","1.03562","2","1"
"Q9NRX2","HUMAN","39S ribosomal protein L17, mitochondrial","1","1.13319","4","1"
"Q9Y5J9","HUMAN","Mitochondrial import inner membrane translocase subunit Tim8 B","1","2.256525","4","2"
"Q92896","HUMAN","Golgi apparatus protein 1","1","0.9384796","18","10"
"Q2TAA5","HUMAN","Asparagine-linked glycosylation protein 11 homolog","1","0.929374","2","1"
"P19623","HUMAN","Spermidine synthase","1","0.754678","1","1"
"Q00325","HUMAN","Phosphate carrier protein, mitochondrial","1","1.15012666667","13","6"
"O00559","HUMAN","Receptor-binding cancer antigen expressed on SiSo cells","1","1.03177","1","1"
"P02786","HUMAN","Transferrin receptor protein 1","1","1.20113661111","39","18"
"O60568","HUMAN","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3","1","1.56807","1","1"
"Q6DD88","HUMAN","Atlastin-3","1","1.28624","2","1"
"Q96T51","HUMAN","RUN and FYVE domain-containing protein 1","1","0.885603","1","1"
"P32970","HUMAN","CD70 antigen","1","3.001655","6","2"
"P63244","HUMAN","Guanine nucleotide-binding protein subunit beta-2-like 1","1","1.460302","10","5"
"P67812","HUMAN","Signal peptidase complex catalytic subunit SEC11A","1","1.745985","4","2"
"Q13443","HUMAN","Disintegrin and metalloproteinase domain-containing protein 9","1","1.37555","2","1"
"[-Q8TEB1]","HUMAN","DDB1- and CUL4-associated factor 11","1","1.15651","1","1"
"O60449","HUMAN","Lymphocyte antigen 75","1","1.78604125","14","8"
"Q9BQE5","HUMAN","Apolipoprotein L2","1","0.89412975","7","4"
"O95864","HUMAN","Fatty acid desaturase 2","1","1.58058","4","2"
"O15269","HUMAN","Serine palmitoyltransferase 1","1","0.806967","2","1"
"Q96S52","HUMAN","GPI transamidase component PIG-S","1","1.735025","4","2"
"O15143","HUMAN","Actin-related protein 2/3 complex subunit 1B","1","1.280635","3","2"
"O15260","HUMAN","Surfeit locus protein 4","1","1.19183","1","1"
"P33121","HUMAN","Long-chain-fatty-acid--CoA ligase 1","1","1.46823","2","1"
"Q8NF91","HUMAN","Nesprin-1","1","1.11963","1","1"
"P26639","HUMAN","Threonyl-tRNA synthetase, cytoplasmic","1","1.265575","4","2"
"P36551","HUMAN","Coproporphyrinogen-III oxidase, mitochondrial","1","1.33653666667","4","3"
"Q08211","HUMAN","ATP-dependent RNA helicase A","1","0.7911665","4","2"
"Q9NZ43","HUMAN","Vesicle transport protein USE1","1","1.03761","2","1"
"Q9UBU6","HUMAN","Protein FAM8A1","1","1.28925","2","1"
"P53007","HUMAN","Tricarboxylate transport protein, mitochondrial","1","1.358036","10","5"
"P11717","HUMAN","Cation-independent mannose-6-phosphate receptor","1","1.33360592857","25","14"
"O60499","HUMAN","Syntaxin-10","1","1.52893","2","1"
"Q7LGA3","HUMAN","Heparan sulfate 2-O-sulfotransferase 1","1","2.1544","1","1"
"P39019","HUMAN","40S ribosomal protein S19","1","1.045405","3","2"
"O14949","HUMAN","Cytochrome b-c1 complex subunit 8","1","1.11727","1","1"
"O43402","HUMAN","Neighbor of COX4","1","1.411815","4","2"
"Q9Y6M9","HUMAN","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9","1","1.30494","2","1"
"Q86UP2","HUMAN","Kinectin","1","1.161106625","27","16"
"P57088","HUMAN","Transmembrane protein 33","1","1.16319666667","8","3"
"Q8N0U8","HUMAN","Vitamin K epoxide reductase complex subunit 1-like protein 1","1","0.9358965","4","2"
"P08240","HUMAN","Signal recognition particle receptor subunit alpha","1","1.327202125","12","8"
"Q13505","HUMAN","Metaxin-1","1","1.4771","2","1"
"Q9Y6M0","HUMAN","Testisin","1","2.531825","4","2"
"P61026","HUMAN","Ras-related protein Rab-10","1","0.82003225","7","4"
"[-Q15582]","HUMAN","Transforming growth factor-beta-induced protein ig-h3","1","1.06603","1","1"
"P61020","HUMAN","Ras-related protein Rab-5B","1","1.34967","2","1"
"[-B2RTY4]","HUMAN","Myosin-IXa","1","1.13145","2","1"
"Q9H3N1","HUMAN","Thioredoxin-related transmembrane protein 1","1","1.053459","12","7"
"Q9BTV4","HUMAN","Transmembrane protein 43","1","1.446315","6","2"
"Q9NS69","HUMAN","Mitochondrial import receptor subunit TOM22 homolog","1","1.48596","2","1"
"Q92820","HUMAN","Gamma-glutamyl hydrolase","1","2.526965","3","2"
"Q2TBE0","HUMAN","CWF19-like protein 2","1","3.34315","1","1"
"P10301","HUMAN","Ras-related protein R-Ras","1","0.850267","2","1"
"Q9NX14","HUMAN","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial","1","1.31405","2","1"
"P08574","HUMAN","Cytochrome c1, heme protein, mitochondrial","1","1.5993","3","1"
"O75165","HUMAN","DnaJ homolog subfamily C member 13","1","1.096565","2","2"
"P42167","HUMAN","Lamina-associated polypeptide 2, isoforms beta/gamma","1","1.16578","1","1"
"P00558","HUMAN","Phosphoglycerate kinase 1","1","1.687805","3","2"
"Q16718","HUMAN","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5","1","1.51213","4","2"
"Q16891","HUMAN","Mitochondrial inner membrane protein","1","1.126397","20","10"
"O43826","HUMAN","Glucose-6-phosphate translocase","1","1.44011","2","1"
"Q9H4M9","HUMAN","EH domain-containing protein 1","1","1.14505","1","1"
"O95816","HUMAN","BAG family molecular chaperone regulator 2","1","0.98484575","8","4"
"Q92945","HUMAN","Far upstream element-binding protein 2","1","0.908848","2","1"
"Q15084","HUMAN","Protein disulfide-isomerase A6","1","1.221472","21","10"
"O75844","HUMAN","CAAX prenyl protease 1 homolog","1","1.14164","1","1"
"Q92542","HUMAN","Nicastrin","1","1.50885","3","2"
"P46779","HUMAN","60S ribosomal protein L28","1","1.23740285714","12","7"
"Q92544","HUMAN","Transmembrane 9 superfamily member 4","1","1.4408775","5","4"
"O43772","HUMAN","Mitochondrial carnitine/acylcarnitine carrier protein","1","1.1303665","14","6"
"Q9UIQ6","HUMAN","Leucyl-cystinyl aminopeptidase","1","1.46108","11","7"
"O95674","HUMAN","Phosphatidate cytidylyltransferase 2","1","1.38673","2","1"
"O43776","HUMAN","Asparaginyl-tRNA synthetase, cytoplasmic","1","0.783199","1","1"
"Q8N183","HUMAN","Mimitin, mitochondrial","1","1.21677","1","1"
"P30825","HUMAN","High affinity cationic amino acid transporter 1","1","1.052237","2","2"
"P29692","HUMAN","Elongation factor 1-delta","1","1.00096833333","5","3"
"P48634","HUMAN","Large proline-rich protein BAT2","1","2.39124","1","1"
"Q9HD33","HUMAN","39S ribosomal protein L47, mitochondrial","1","1.02067","2","1"
"Q01469","HUMAN","Fatty acid-binding protein, epidermal","1","1.20289","5","2"
"Q15286","HUMAN","Ras-related protein Rab-35","1","1.16353","6","3"
"Q9Y265","HUMAN","RuvB-like 1","1","0.98114","2","1"
"P61247","HUMAN","40S ribosomal protein S3a","1","0.970971","4","3"
"O14745","HUMAN","Na(+)/H(+) exchange regulatory cofactor NHE-RF1","1","1.62197","7","4"
"O14744","HUMAN","Protein arginine N-methyltransferase 5","1","1.46925","1","1"
"Q5J8M3","HUMAN","Transmembrane protein 85","1","0.822707","6","3"
"P20340","HUMAN","Ras-related protein Rab-6A","1","1.196215","6","4"
"P09382","HUMAN","Galectin-1","1","1.40736","3","2"
"[-P40818]","HUMAN","Ubiquitin carboxyl-terminal hydrolase 8","1","1.18317","1","1"
"O14662","HUMAN","Syntaxin-16","1","0.8795895","2","2"
"Q9Y263","HUMAN","Phospholipase A-2-activating protein","1","0.397164","2","1"
"P13804","HUMAN","Electron transfer flavoprotein subunit alpha, mitochondrial","1","1.355085","2","2"
"Q9HAV0","HUMAN","Guanine nucleotide-binding protein subunit beta-4","1","0.857711","2","2"
"Q96E22","HUMAN","Nogo-B receptor","1","1.97624","1","1"
"P62888","HUMAN","60S ribosomal protein L30","1","1.20076","3","2"
"P23786","HUMAN","Carnitine O-palmitoyltransferase 2, mitochondrial","1","0.98527","2","1"
"P15311","HUMAN","Ezrin","1","1.056862","3","2"
"P60866","HUMAN","40S ribosomal protein S20","1","1.18154","2","1"
"P50402","HUMAN","Emerin","1","1.189255","5","2"
"Q99805","HUMAN","Transmembrane 9 superfamily member 2","1","1.5721975","7","4"
"Q9NRK6","HUMAN","ATP-binding cassette sub-family B member 10, mitochondrial","1","0.86776","3","1"
"Q96T37","HUMAN","Putative RNA-binding protein 15","1","1.05418","1","1"
"Q99808","HUMAN","Equilibrative nucleoside transporter 1","1","1.266365","5","2"
"O60762","HUMAN","Dolichol-phosphate mannosyltransferase","1","1.0139008","8","5"
"Q8WXE9","HUMAN","Stonin-2","1","1.10412","1","1"
"Q58FF3","HUMAN","Putative endoplasmin-like protein","1","1.10631","1","1"
"Q9UHG3","HUMAN","Prenylcysteine oxidase 1","1","1.79641","1","1"
"P09497","HUMAN","Clathrin light chain B","1","1.3271","2","1"
"O60763","HUMAN","General vesicular transport factor p115","1","1.16259","1","1"
"[-Q9NPD8]","HUMAN","Ubiquitin-conjugating enzyme E2 T","1","1.03339","2","1"
"O60888","HUMAN","Protein CutA","1","0.944649","2","1"
"O43175","HUMAN","D-3-phosphoglycerate dehydrogenase","1","0.569039","5","3"
"P10599","HUMAN","Thioredoxin","1","1.071429","3","2"
"Q6JQN1","HUMAN","Acyl-CoA dehydrogenase family member 10","1","1.50836","1","1"
"Q96I59","HUMAN","Probable asparaginyl-tRNA synthetase, mitochondrial","1","0.85335","2","1"
"Q14566","HUMAN","DNA replication licensing factor MCM6","1","0.7436455","2","2"
"Q92536","HUMAN","Y+L amino acid transporter 2","1","1.01208","2","1"
"A4D1S5","HUMAN","Ras-related protein Rab-19","1","1.2401","2","1"
"O75306","HUMAN","NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial","1","2.347604","9","5"
"Q9BYC9","HUMAN","39S ribosomal protein L20, mitochondrial","1","0.925888","2","2"
"P49207","HUMAN","60S ribosomal protein L34","1","1.2142875","11","4"
"P16278","HUMAN","Beta-galactosidase","1","1.15382","1","1"
"P48444","HUMAN","Coatomer subunit delta","1","0.971488","2","1"
"O00115","HUMAN","Deoxyribonuclease-2-alpha","1","0.614256","2","1"
"O00483","HUMAN","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4","1","1.3333525","7","4"
"P62857","HUMAN","40S ribosomal protein S28","1","1.00464","2","1"
"P48449","HUMAN","Lanosterol synthase","1","1.1724486","28","15"
"Q9Y3Q3","HUMAN","Transmembrane emp24 domain-containing protein 3","1","1.16008","1","1"
"Q8N5K1","HUMAN","CDGSH iron-sulfur domain-containing protein 2","1","1.059445","4","2"
"Q8TD46","HUMAN","Cell surface glycoprotein CD200 receptor 1","1","1.51758","1","1"
"Q9Y2D5","HUMAN","A-kinase anchor protein 2","1","0.910246","2","1"
"P62266","HUMAN","40S ribosomal protein S23","1","1.151375","4","2"
"P20700","HUMAN","Lamin-B1","1","0.957901","2","1"
"Q93050","HUMAN","V-type proton ATPase 116 kDa subunit a isoform 1","1","1.42186","2","1"
"P07741","HUMAN","Adenine phosphoribosyltransferase","1","0.644562","2","2"
"O15031","HUMAN","Plexin-B2","1","1.089245","4","2"
"Q9Y512","HUMAN","Sorting and assembly machinery component 50 homolog","1","1.5386166","6","5"
"O00186","HUMAN","Syntaxin-binding protein 3","1","0.884422333333","5","3"
"[-Q5T3U5]","HUMAN","Multidrug resistance-associated protein 7","1","1.08589","1","1"
"Q12905","HUMAN","Interleukin enhancer-binding factor 2","1","0.9458385","4","2"
"P27105","HUMAN","Erythrocyte band 7 integral membrane protein","1","0.9142082","10","5"
"Q9BUB7","HUMAN","Transmembrane protein 70, mitochondrial","1","1.20764","6","3"
"Q96C01","HUMAN","Protein FAM136A","1","1.55972","2","1"
"Q06136","HUMAN","3-ketodihydrosphingosine reductase","1","0.20222","1","1"
"O15173","HUMAN","Membrane-associated progesterone receptor component 2","1","1.29435333333","9","3"
"Q9Y4I1","HUMAN","Myosin-Va","1","2.39638","1","1"
"Q9NSD9","HUMAN","Phenylalanyl-tRNA synthetase beta chain","1","1.22419","3","2"
"Q9ULX3","HUMAN","RNA-binding protein NOB1","1","0.873142","1","1"
"P26599","HUMAN","Polypyrimidine tract-binding protein 1","1","1.03862","2","1"
"O75947","HUMAN","ATP synthase subunit d, mitochondrial","1","1.32621333333","4","3"
"O95466","HUMAN","Formin-like protein 1","1","1.2242434","10","5"
"Q15629","HUMAN","Translocating chain-associated membrane protein 1","1","1.116597","4","2"
"P14927","HUMAN","Cytochrome b-c1 complex subunit 7","1","1.6075625","5","4"
"Q8IXI2","HUMAN","Mitochondrial Rho GTPase 1","1","1.17294","2","1"
"Q969Q5","HUMAN","Ras-related protein Rab-24","1","0.597233","2","1"
"O43399","HUMAN","Tumor protein D54","1","1.4829","3","2"
"O43396","HUMAN","Thioredoxin-like protein 1","1","0.696467","2","1"
"Q01518","HUMAN","Adenylyl cyclase-associated protein 1","1","1.46452","1","1"
"Q86Y39","HUMAN","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11","1","1.8376","2","1"
"P36776","HUMAN","Lon protease homolog, mitochondrial","1","0.922411","7","5"
"[-O15131]","HUMAN","Importin subunit alpha-6","1","1.02585","2","1"
"P05141","HUMAN","ADP/ATP translocase 2","1","1.1193505","9","4"
"Q9UBI6","HUMAN","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12","1","1.43725","1","1"
"P07954","HUMAN","Fumarate hydratase, mitochondrial","1","1.1778958","8","5"
"O76024","HUMAN","Wolframin","1","2.22218","3","2"
"P31641","HUMAN","Sodium- and chloride-dependent taurine transporter","1","0.9173335","3","2"
"P54652","HUMAN","Heat shock-related 70 kDa protein 2","1","0.848737","6","2"
"Q13488","HUMAN","V-type proton ATPase 116 kDa subunit a isoform 3","1","1.106744","3","2"
"Q9BVK6","HUMAN","Transmembrane emp24 domain-containing protein 9","1","1.33415","9","3"
"P09874","HUMAN","Poly [ADP-ribose] polymerase 1","1","0.997913","5","3"
"Q9BVK8","HUMAN","Transmembrane protein 147","1","1.03033","1","1"
"P23528","HUMAN","Cofilin-1","1","1.22008","2","1"
"P07384","HUMAN","Calpain-1 catalytic subunit","1","1.06852","1","1"
"Q9NZ01","HUMAN","Trans-2,3-enoyl-CoA reductase","1","1.17233125","15","8"
"Q15052","HUMAN","Rho guanine nucleotide exchange factor 6","1","1.50218","1","1"
"Q9Y5U9","HUMAN","Immediate early response 3-interacting protein 1","1","1.2423","1","1"
"Q00839","HUMAN","Heterogeneous nuclear ribonucleoprotein U","1","0.81745275","9","4"
"O95197","HUMAN","Reticulon-3","1","0.986378","3","1"
"P22695","HUMAN","Cytochrome b-c1 complex subunit 2, mitochondrial","1","1.11193211111","18","9"
"Q9Y5Z9","HUMAN","UbiA prenyltransferase domain-containing protein 1","1","0.938401","1","1"
"Q8IW92","HUMAN","Beta-galactosidase-1-like protein 2","1","2.13864","2","1"
"Q8NBX0","HUMAN","Probable saccharopine dehydrogenase","1","1.15889","2","1"
"Q99470","HUMAN","Stromal cell-derived factor 2","1","2.0524","1","1"
"P49257","HUMAN","Protein ERGIC-53","1","1.551116","22","10"
"Q6NUK1","HUMAN","Calcium-binding mitochondrial carrier protein SCaMC-1","1","1.24118","2","1"
"P16615","HUMAN","Sarcoplasmic/endoplasmic reticulum calcium ATPase 2","1","1.03449744444","20","9"
"P11279","HUMAN","Lysosome-associated membrane glycoprotein 1","1","1.393335","7","4"
"P08183","HUMAN","Multidrug resistance protein 1","1","1.14687","1","1"
"P12956","HUMAN","X-ray repair cross-complementing protein 6","1","1.31679","3","1"
"Q14699","HUMAN","Raftlin","1","0.988434666667","5","3"
"P57723","HUMAN","Poly(rC)-binding protein 4","1","1.08029","1","1"
"Q14694","HUMAN","Ubiquitin carboxyl-terminal hydrolase 10","1","1.3723","2","1"
"Q14697","HUMAN","Neutral alpha-glucosidase AB","1","1.22060572222","36","18"
"P62269","HUMAN","40S ribosomal protein S18","1","1.13319508333","30","12"
"Q9ULV4","HUMAN","Coronin-1C","1","0.983477","2","1"
"Q8WWI5","HUMAN","Choline transporter-like protein 1","1","1.01257","2","1"
"Q8N6L1","HUMAN","Keratinocyte-associated protein 2","1","1.42415","2","1"
"Q9NVI7","HUMAN","ATPase family AAA domain-containing protein 3A","1","0.682652","2","1"
"P22001","HUMAN","Potassium voltage-gated channel subfamily A member 3","1","1.99382","2","1"
"Q9P246","HUMAN","Stromal interaction molecule 2","1","1.01942","2","1"
"P08758","HUMAN","Annexin A5","1","0.8057858","10","5"
"Q9Y6A9","HUMAN","Signal peptidase complex subunit 1","1","2.13278","1","1"
"Q9H2U2","HUMAN","Inorganic pyrophosphatase 2, mitochondrial","1","3.0657845","5","4"
"P08754","HUMAN","Guanine nucleotide-binding protein G(k) subunit alpha","1","0.925507666667","7","3"
"O43861","HUMAN","Probable phospholipid-transporting ATPase IIB","1","0.854545","1","1"
"Q8IXI1","HUMAN","Mitochondrial Rho GTPase 2","1","1.65592","3","2"
"P29622","HUMAN","Kallistatin","1","1.03673","1","1"
"Q16629","HUMAN","Serine/arginine-rich splicing factor 7","1","0.571211","2","1"
"P23284","HUMAN","Peptidyl-prolyl cis-trans isomerase B","1","0.961121375","18","8"
"Q56VL3","HUMAN","OCIA domain-containing protein 2","1","1.1053","3","2"
"P53597","HUMAN","Succinyl-CoA ligase [GDP-forming] subunit alpha, mitochondrial","1","1.25141","3","1"
"P01591","HUMAN","Immunoglobulin J chain","1","3.85619666667","5","3"
"P35270","HUMAN","Sepiapterin reductase","1","0.411625","2","1"
"P62937","HUMAN","Peptidyl-prolyl cis-trans isomerase A","1","1.33599666667","6","3"
"P09622","HUMAN","Dihydrolipoyl dehydrogenase, mitochondrial","1","1.219196","5","2"
"P36873","HUMAN","Serine/threonine-protein phosphatase PP1-gamma catalytic subunit","1","1.79259","2","1"
"O75381","HUMAN","Peroxisomal membrane protein PEX14","1","1.15729","3","2"
"Q16698","HUMAN","2,4-dienoyl-CoA reductase, mitochondrial","1","0.97031075","9","4"
"O43865","HUMAN","Putative adenosylhomocysteinase 2","1","1.52064","2","1"
"Q92900","HUMAN","Regulator of nonsense transcripts 1","1","1.2147496","9","5"
"Q14BN4","HUMAN","Sarcolemmal membrane-associated protein","1","1.03128","1","1"
"Q9H2W6","HUMAN","39S ribosomal protein L46, mitochondrial","1","0.813434","2","1"
"Q13438","HUMAN","Protein OS-9","1","1.38459","1","1"
"Q9UHA4","HUMAN","Mitogen-activated protein kinase scaffold protein 1","1","1.67927","1","1"
"Q96HY6","HUMAN","DDRGK domain-containing protein 1","1","1.48972","2","1"
"Q15125","HUMAN","3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase","1","1.33028","2","1"
"Q02543","HUMAN","60S ribosomal protein L18a","1","1.02632366667","12","6"
"Q15437","HUMAN","Protein transport protein Sec23B","1","1.18913","1","1"
"O15382","HUMAN","Branched-chain-amino-acid aminotransferase, mitochondrial","1","0.666064","2","1"
"P36578","HUMAN","60S ribosomal protein L4","1","1.126876","33","15"
"Q95IE3","HUMAN","HLA class II histocompatibility antigen, DRB1-12 beta chain","1","1.8072","2","1"
"Q7Z7H5","HUMAN","Transmembrane emp24 domain-containing protein 4","1","1.63431","2","1"
"Q9UBV2","HUMAN","Protein sel-1 homolog 1","1","1.34111","4","2"
"Q9NUM4","HUMAN","Transmembrane protein 106B","1","2.20106","3","2"
"Q9Y6M5","HUMAN","Zinc transporter 1","1","0.953463","1","1"
"Q6STE5","HUMAN","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3","1","0.908584","1","1"
"P11117","HUMAN","Lysosomal acid phosphatase","1","2.47523333333","6","3"
"Q9UJS0","HUMAN","Calcium-binding mitochondrial carrier protein Aralar2","1","1.25438471429","9","7"
"[-Q3BBV0]","HUMAN","Neuroblastoma breakpoint family member 1","1","1.02686","2","1"
"P46776","HUMAN","60S ribosomal protein L27a","1","1.10604333333","8","3"
"P46777","HUMAN","60S ribosomal protein L5","1","1.1157575","4","2"
"Q9H3U5","HUMAN","Major facilitator superfamily domain-containing protein 1","1","1.50599","3","2"
"Q99832","HUMAN","T-complex protein 1 subunit eta","1","1.3919","3","2"
"O75907","HUMAN","Diacylglycerol O-acyltransferase 1","1","1.04837","1","1"
"P46778","HUMAN","60S ribosomal protein L21","1","1.1067","3","1"
"P10620","HUMAN","Microsomal glutathione S-transferase 1","1","1.28448666667","9","3"
"O60711","HUMAN","Leupaxin","1","1.12126","2","2"
"Q8IXB1","HUMAN","DnaJ homolog subfamily C member 10","1","1.252661","3","2"
"Q99442","HUMAN","Translocation protein SEC62","1","0.916443","2","1"
"P43897","HUMAN","Elongation factor Ts, mitochondrial","1","2.382525","3","2"
"O95721","HUMAN","Synaptosomal-associated protein 29","1","0.927867","1","1"
"Q6IAA8","HUMAN","Ragulator complex protein PDRO","1","1.40147333333","8","3"
"Q13813","HUMAN","Spectrin alpha chain, brain","1","1.03713461765","55","34"
"P43487","HUMAN","Ran-specific GTPase-activating protein","1","1.20783","1","1"
"Q96QK1","HUMAN","Vacuolar protein sorting-associated protein 35","1","1.02034","2","1"
"O75475","HUMAN","PC4 and SFRS1-interacting protein","1","0.569359","1","1"
"Q14974","HUMAN","Importin subunit beta-1","1","0.923541","2","1"
"Q14157","HUMAN","Ubiquitin-associated protein 2-like","1","1.41243","4","2"
"Q9NRW7","HUMAN","Vacuolar protein sorting-associated protein 45","1","1.4172","1","1"
"Q9UNK0","HUMAN","Syntaxin-8","1","1.59691","4","2"
"P06576","HUMAN","ATP synthase subunit beta, mitochondrial","1","1.28324392308","32","13"
"Q12907","HUMAN","Vesicular integral-membrane protein VIP36","1","0.9579795","20","8"
"P62158","HUMAN","Calmodulin","1","1.28479","5","3"
"Q15154","HUMAN","Pericentriolar material 1 protein","1","0.960977","1","1"
