Accession,Localization,Description,Norm avg ratio,test,direct sec61?,membrane?,GO
Q9NQG5,,Regulation of nuclear pre-mRNA domain-containing protein 1B,0.707755549,1,,,None
Q9NQR4,,Omega-amidase NIT2,0.876402398,1,,,cellular_component;mitochondrion;cytoplasm;
Q9NQS3,type I,Poliovirus receptor-related protein 3,2.511008601,1,,,integral to membrane;cell-cell adherens junction;plasma membrane;plasma membrane;plasma membrane;plasma membrane;apical junction complex;plasma membrane;
Q9NQT4,,Exosome complex component RRP46,1.126303079,1,,,nucleolus;exosome (RNase complex);nucleus;cytoplasm;
Q9NQW7,,Xaa-Pro aminopeptidase 1,1.017990216,1,,,cytoplasm;cytosol;
Q9NQX7,type II,"Integral membrane protein 2C, BRI3",5.602249148,1,,,membrane;integral to membrane;Golgi apparatus;lysosomal membrane;
Q9NR09,,Baculoviral IAP repeat-containing protein 6,1.053623821,1,,,membrane fraction;cellular_component;intracellular;
Q9NR30,cytosol,Nucleolar RNA helicase 2,1.140374893,1,,,nucleus;nucleolus;
Q9NR45,,Sialic acid synthase,0.798407261,1,,,cytoplasm;cytosol;
Q9NR50,,Translation initiation factor eIF-2B subunit gamma,1.047534815,1,,,eukaryotic translation initiation factor 2B complex;cytoplasm;eukaryotic translation initiation factor 2B complex;
Q9NR82,multiTM,Potassium voltage-gated channel subfamily KQT member 5,0.926359813,1,,,membrane;integral to membrane;voltage-gated potassium channel complex;
Q9NRA2,,Sialin,1.119639777,1,,,cytoplasmic membrane-bounded vesicle;integral to plasma membrane;membrane fraction;plasma membrane;lysosomal membrane;
Q9NRF8,,CTP synthase 2,0.913794536,1,,,mitochondrion;
Q9NRF9,,DNA polymerase epsilon subunit 3,0.847594235,1,,,nucleus;intracellular;
Q9NRG9,nucleus,Aladin,0.96786085,1,,,nuclear envelope;nuclear envelope;nuclear pore;nuclear pore;
Q9NRK6,mito,"ATP-binding cassette sub-family B member 10, mitochondrial",0.912890985,1,,,mitochondrial inner membrane;membrane;integral to mitochondrial membrane;mitochondrion;integral to membrane;
Q9NRN7,,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,0.927307173,1,,,cytosol;cytoplasm;
Q9NRR3,,CDC42 small effector protein 2,1.073271641,1,,,cytoskeleton;cytoplasm;plasma membrane;
Q9NRR5,,Ubiquilin-4,0.768266029,1,,,endoplasmic reticulum;nucleus;cytoplasm;cytosol;endoplasmic reticulum membrane;
Q9NRW7,unchar.,Vacuolar protein sorting-associated protein 45,1.067569011,1,,,endosome;membrane;Golgi apparatus;endosome membrane;cellular_component;Golgi membrane;
Q9NRY5,unchar.,Protein FAM114A2,0.926120967,1,,,cellular_component;
Q9NS69,mito,Mitochondrial import receptor subunit TOM22 homolog,0.940691726,1,,,membrane;mitochondrial outer membrane translocase complex;integral to membrane;mitochondrial inner membrane;mitochondrion;mitochondrial outer membrane translocase complex;integral to membrane of membrane fraction;
Q9NSD9,cytosol,Phenylalanyl-tRNA synthetase beta chain,0.925513402,1,,,cytosol;soluble fraction;cytoplasm;
Q9NSE4,,"Isoleucyl-tRNA synthetase, mitochondrial",0.80807613,1,,,mitochondrion;mitochondrial matrix;cytoplasm;
Q9NT62,,Ubiquitin-like-conjugating enzyme ATG3,1.172945056,1,,,cytoplasmic ubiquitin ligase complex;cytoplasm;cytosol;
Q9NTJ3,,Structural maintenance of chromosomes protein 4,0.857541295,1,,,condensin complex;condensin complex;cytoplasm;chromosome;nucleus;
Q9NTJ5,multiTM,Phosphatidylinositide phosphatase SAC1,0.986479536,1,,,integral to endoplasmic reticulum membrane;Golgi apparatus;integral to membrane;membrane;endoplasmic reticulum membrane;endoplasmic reticulum;
Q9NTK5,,Obg-like ATPase 1,0.792895592,1,,,intracellular;cytoplasm;
Q9NTM9,,Copper homeostasis protein cutC homolog,0.883876939,1,,,nucleus;cytoplasm;
Q9NTX5,,Enoyl-CoA hydratase domain-containing protein 1,0.868001501,1,,,NA
Q9NTZ6,,RNA-binding protein 12,0.861909826,1,,,nucleus;
Q9NU22,nucleus,Midasin,1.191552995,1,,,nucleus;
Q9NUE0,multiTM,Palmitoyltransferase ZDHHC18,1.418084143,1,,,membrane;integral to membrane;
Q9NUJ1,,"Abhydrolase domain-containing protein 10, mitochondrial",1.23479199,1,,,mitochondrion;
Q9NUJ3,,T-complex protein 11-like protein 1,0.715318231,1,,,None
Q9NUM4,type II,Transmembrane protein 106B,1.834263678,1,,,integral to membrane;cellular_component;membrane;
Q9NUP9,cytosol,Protein lin-7 homolog C,0.952112969,1,,,plasma membrane;tight junction;synaptosome;postsynaptic membrane;postsynaptic density;basolateral plasma membrane;synapse;cell-cell junction;
Q9NUQ2,multiTM,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.681003589,1,,,cytosol;mitochondrion;integral to membrane;membrane;
Q9NUQ7,,Ufm1-specific protease 2,0.91043959,1,,,NA
Q9NUQ8,,ATP-binding cassette sub-family F member 3,1.04410848,1,,,NA
Q9NUQ9,unchar.,Protein FAM49B,1.10168224,1,,,None
Q9NV06,,DDB1- and CUL4-associated factor 13,0.726014385,1,,,CUL4 RING ubiquitin ligase complex;nucleus;ribonucleoprotein complex;nucleolus;
Q9NV31,,U3 small nucleolar ribonucleoprotein protein IMP3,0.9633662,1,,,nucleolus;intracellular;nucleus;ribonucleoprotein complex;
Q9NV70,,Exocyst complex component 1,0.779774739,1,,,exocyst;
Q9NV96,multiTM,Cell cycle control protein 50A,1.099303359,1,,,membrane;integral to membrane;
Q9NVA1,cytosol,Ubiquinol-cytochrome c reductase complex chaperone CBP3 homolog,0.959626059,1,,,cytoplasmic membrane-bounded vesicle;
Q9NVA2,,Septin-11,0.824723904,1,,,septin complex;cell junction;cell projection;cytoskeleton;stress fiber;dendritic spine;synapse;cytoplasm;axon;
Q9NVE7,,Pantothenate kinase 4,0.965237987,1,,,cytoplasm;
Q9NVH1,cytosol,DnaJ homolog subfamily C member 11,0.766935289,1,,,mitochondrial inner membrane;mitochondrion;
Q9NVI1,,Fanconi anemia group I protein,1.074200701,1,,,nucleus;chromosome;nucleoplasm;nucleoplasm;
Q9NVI7,cytosol,ATPase family AAA domain-containing protein 3A,0.882697588,1,,,NA
Q9NVM9,,Cell cycle regulator Mat89Bb homolog,0.87136851,1,,,NA
Q9NVP1,,ATP-dependent RNA helicase DDX18,0.825656237,1,,,NA
Q9NVT9,cytosol,Armadillo repeat-containing protein 1,1.010809016,1,,,mitochondrion;
Q9NVX2,,Notchless protein homolog 1,0.923448644,1,,,nucleus;nucleolus;
Q9NWQ8,type III,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1,1.131297733,1,,,membrane raft;plasma membrane;integral to membrane;plasma membrane;
Q9NWS0,,PIH1 domain-containing protein 1,1.200711439,1,,,pre-snoRNP complex;
Q9NWT1,cytosol,p21-activated protein kinase-interacting protein 1,0.874486989,1,,,nucleus;nucleolus;
Q9NX08,,COMM domain-containing protein 8,0.976620594,1,,,NA
Q9NX24,,H/ACA ribonucleoprotein complex subunit 2,0.995660729,1,,,nucleus;Cajal body;nucleolus;small nucleolar ribonucleoprotein complex;
Q9NX40,cytosol,OCIA domain-containing protein 1,0.685525521,1,,,mitochondrion;endosome;
Q9NX55,,Huntingtin-interacting protein K,0.878576829,1,,,None
Q9NX62,cytosol,Inositol monophosphatase 3,0.966267589,1,,,membrane;integral to membrane;Golgi apparatus;
Q9NX63,mito,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial",0.915757875,1,,,mitochondrion;
Q9NX76,,CKLF-like MARVEL transmembrane domain-containing protein 6,0.852703224,1,,,integral to membrane;extracellular space;membrane;
Q9NXC5,cytosol,WD repeat-containing protein mio,1.017511721,1,,,None
Q9NXE4,,Sphingomyelin phosphodiesterase 4,1.079220207,1,,,trans-Golgi network;integral to membrane;membrane;Golgi membrane;Golgi apparatus;endoplasmic reticulum;endoplasmic reticulum membrane;
Q9NXF1,,Testis-expressed sequence 10 protein,0.862205044,1,,,nucleolus;MLL1 complex;nucleus;membrane;integral to membrane;nuclear membrane;
Q9NXG2,,THUMP domain-containing protein 1,1.07898439,1,,,None
Q9NXH9,,"N(2),N(2)-dimethylguanosine tRNA methyltransferase",1.014640204,1,,,NA
Q9NXS2,,Glutaminyl-peptide cyclotransferase-like protein,2.103167764,1,,,integral to membrane;membrane;
Q9NY12,,H/ACA ribonucleoprotein complex subunit 1,0.750089036,1,,,nucleus;ribonucleoprotein complex;nucleolus;box H/ACA snoRNP complex;Cajal body;
Q9NY33,,Dipeptidyl peptidase 3,0.896841629,1,,,cytoplasm;
Q9NY35,multiTM,Claudin domain-containing protein 1,0.996922853,1,,,integral to membrane;membrane;
Q9NY61,,Protein AATF,0.85590377,1,,,nucleus;nucleus;Golgi apparatus;cytoplasm;nucleus;nucleolus;nucleus;cytoplasm;
Q9NY93,,Probable ATP-dependent RNA helicase DDX56,0.966106077,1,,,nucleus;nucleolus;
Q9NYB0,,Telomeric repeat-binding factor 2-interacting protein 1,0.847010447,1,,,nuclear telomere cap complex;nuclear telomere cap complex;Mre11 complex;cytoplasm;nuclear chromosome;nucleus;nucleoplasm;nucleus;nuclear chromosome; telomeric region;chromosome; telomeric region;
Q9NYF8,,Bcl-2-associated transcription factor 1,0.8507106,1,,,nucleus;cytoplasm;nucleus;nucleus;nucleolus;
Q9NYH9,,U3 small nucleolar RNA-associated protein 6 homolog,0.951339002,1,,,nucleus;nucleolus;intracellular;
Q9NYL9,,Tropomodulin-3,0.907011976,1,,,cytoplasm;actin cytoskeleton;
Q9NYM9,,BET1-like protein,1.146706262,1,,,Golgi apparatus;integral to membrane;SNARE complex;endosome;Golgi membrane;membrane;
Q9NYP7,,Elongation of very long chain fatty acids protein 5,0.973147445,1,,,endoplasmic reticulum;integral to membrane;endoplasmic reticulum membrane;membrane;
Q9NYU2,secreted,UDP-glucose:glycoprotein glucosyltransferase 1,1.006889603,1,,,ER-Golgi intermediate compartment;endoplasmic reticulum;endoplasmic reticulum lumen;
Q9NZ01,multiTM,"Trans-2,3-enoyl-CoA reductase",0.849526334,1,,,membrane;integral to membrane;cytoplasm;endoplasmic reticulum membrane;endoplasmic reticulum;
Q9NZ08,,Endoplasmic reticulum aminopeptidase 1,1.105435802,1,,,endoplasmic reticulum membrane;cytosol;extracellular region;integral to membrane;membrane;endoplasmic reticulum lumen;endoplasmic reticulum;
Q9NZ43,,Vesicle transport protein USE1,1.057711958,1,,,membrane;lysosome;endoplasmic reticulum;integral to membrane;endoplasmic reticulum membrane;
Q9NZ45,,CDGSH iron-sulfur domain-containing protein 1,0.784703299,1,,,mitochondrion;integral to membrane;membrane;mitochondrial outer membrane;
Q9NZ53,,Podocalyxin-like protein 2,1.304317118,1,,,membrane;integral to plasma membrane;
Q9NZB2,,Constitutive coactivator of PPAR-gamma-like protein 1,1.027955306,1,,,cytoplasm;plasma membrane;
Q9NZD8,cytosol,Maspardin,1.870990582,1,,,trans-Golgi network transport vesicle;membrane;cytoplasm;cytosol;endosome;Golgi apparatus;endosome membrane;
Q9NZI8,,Insulin-like growth factor 2 mRNA-binding protein 1,0.790448363,1,,,dendritic spine;stress granule;cytoplasm;nucleus;nucleolus;CRD-mediated mRNA stability complex;lamellipodium;cytoplasm;cytoplasm;ribonucleoprotein complex;
Q9NZJ7,,Mitochondrial carrier homolog 1,0.544575993,1,,,membrane;intracellular;integral to membrane;mitochondrial inner membrane;mitochondrion;
Q9NZL4,cytosol,Hsp70-binding protein 1,0.544487747,1,,,NA
Q9NZL9,,Methionine adenosyltransferase 2 subunit beta,0.786987219,1,,,nucleus;methionine adenosyltransferase complex;intracellular;mitochondrion;
Q9NZM1,,Myoferlin,0.792146729,1,,,nuclear membrane;integral to membrane;nuclear envelope;cytoplasmic vesicle;cytoplasmic vesicle membrane;nucleus;centrosome;plasma membrane;
Q9NZW5,unchar.,MAGUK p55 subfamily member 6,1.037364343,1,,,membrane;
Q9NZZ3,,Charged multivesicular body protein 5,1.48169723,1,,,endosome membrane;membrane;nucleus;cytosol;cytoplasm;endosome;
Q9P000,,COMM domain-containing protein 9,1.062308428,1,,,None
Q9P035,multiTM,3-hydroxyacyl-CoA dehydratase 3,1.012121891,1,,,cellular_component;membrane;integral to membrane;
Q9P0I2,type II,Transmembrane protein 111,0.762392543,1,,,cellular_component;integral to membrane;membrane;Golgi apparatus;trans-Golgi network transport vesicle;
Q9P0J0,mito,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,1.05974487,1,,,mitochondrion;cytoplasm;mitochondrial respiratory chain;nucleus;mitochondrion;integral to membrane;membrane;mitochondrial respiratory chain complex I;nucleoplasm;mitochondrial membrane;
Q9P0K1,type I,Disintegrin and metalloproteinase domain-containing protein 22,0.748321333,1,,,integral to membrane;membrane;
Q9P0L0,type IV,Vesicle-associated membrane protein-associated protein A,1.108585087,1,,,endoplasmic reticulum membrane;endomembrane system;plasma membrane;integral to membrane;vesicle;tight junction;endoplasmic reticulum membrane;perinuclear region of cytoplasm;
Q9P0U1,mito,Mitochondrial import receptor subunit TOM7 homolog,1.042315947,1,,,mitochondrion;membrane;mitochondrial outer membrane translocase complex;integral to membrane;
Q9P241,multiTM,Probable phospholipid-transporting ATPase VD,0.941212342,1,,,integral to membrane;membrane;mitochondrion;
Q9P244,type I,Leucine-rich repeat and fibronectin type III domain-containing protein 1,1.711950787,1,,,integral to membrane;synapse;cell junction;membrane;
Q9P258,cytosol,Protein RCC2,0.973158791,1,,,cytoplasm;cytoskeleton;nucleolus;spindle;chromosome; centromeric region;nucleus;microtubule;
Q9P265,,Disco-interacting protein 2 homolog B,1.199002997,1,,,nucleus;
Q9P273,type II,Teneurin-3,1.832868656,1,,,membrane;integral to membrane;
Q9P287,,BRCA2 and CDKN1A-interacting protein,0.896084256,1,,,nucleus;nuclear cyclin-dependent protein kinase holoenzyme complex;
Q9P289,,Serine/threonine-protein kinase MST4,1.219087679,1,,,Golgi apparatus;cytoplasm;cytosol;
Q9P2E5,,Chondroitin sulfate glucuronyltransferase,2.315670733,1,,,Golgi apparatus;membrane;Golgi cisterna membrane;integral to membrane;
Q9P2E9,,Ribosome-binding protein 1,0.990323108,1,,,ribosome;endoplasmic reticulum membrane;integral to membrane;endoplasmic reticulum;integral to endoplasmic reticulum membrane;membrane;
Q9P2I0,,Cleavage and polyadenylation specificity factor subunit 2,0.970181463,1,,,nucleus;
Q9P2J5,cytosol,"Leucyl-tRNA synthetase, cytoplasmic",0.851874545,1,,,cytoplasm;cytosol;cytosol;cytosol;cytosol;cytosol;cytosol;cytosol;
Q9P2N5,,RNA-binding protein 27,1.252595715,1,,,cytoplasm;nuclear speck;nucleus;
Q9P2X0,,Dolichol-phosphate mannosyltransferase subunit 3,1.044054738,1,,,dolichol-phosphate-mannose synthase complex;endoplasmic reticulum membrane;integral to membrane;integral to endoplasmic reticulum membrane;dolichol-phosphate-mannose synthase complex;mannosyltransferase complex;endoplasmic reticulum membrane;endoplasmic reticulum;membrane;
Q9UBB4,cytosol,Ataxin-10,0.945171953,1,,,perinuclear region of cytoplasm;perinuclear region of cytoplasm;neuronal cell body;dendrite;cytoplasm;cytoplasm;
Q9UBB6,,Neurochondrin,0.975859306,1,,,nucleus;axon;cytosol;neuronal cell body;dendrite;cytoplasm;cell projection;
Q9UBB9,,Tuftelin-interacting protein 11,1.043207903,1,,,nuclear speck;intracellular;proteinaceous extracellular matrix;cytoplasm;nucleus;spliceosomal complex;
Q9UBE0,,SUMO-activating enzyme subunit 1,0.899783207,1,,,nucleus;
Q9UBH6,multiTM,Xenotropic and polytropic retrovirus receptor 1,1.136012963,1,,,integral to plasma membrane;plasma membrane;
Q9UBI6,cytosol,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,1.144388408,1,,,plasma membrane;heterotrimeric G-protein complex;
Q9UBL3,,Set1/Ash2 histone methyltransferase complex subunit ASH2,1.029154278,1,,,histone methyltransferase complex;nucleus;histone methyltransferase complex;histone methyltransferase complex;MLL1 complex;histone methyltransferase complex;histone methyltransferase complex;nucleus;
Q9UBM7,multiTM,7-dehydrocholesterol reductase,0.925446875,1,,,endoplasmic reticulum;membrane;nuclear outer membrane;integral to membrane;endoplasmic reticulum membrane;
Q9UBP6,,tRNA (guanine-N(7)-)-methyltransferase,1.066891581,1,,,nucleus;
Q9UBQ0,,Vacuolar protein sorting-associated protein 29,0.900864133,1,,,endosome;cytoplasm;endosome membrane;membrane;
Q9UBQ5,,Eukaryotic translation initiation factor 3 subunit K,0.79030504,1,,,eukaryotic translation initiation factor 3 complex;cytosol;cytoplasm;eukaryotic translation initiation factor 3 complex;nucleus;eukaryotic translation initiation factor 3 complex;
Q9UBQ7,,Glyoxylate reductase/hydroxypyruvate reductase,0.944329571,1,,,cytoplasm;
Q9UBS4,secreted,DnaJ homolog subfamily B member 11  Erdj3,1.30087469,1,,,endoplasmic reticulum;cytoplasm;endoplasmic reticulum;nucleus;endoplasmic reticulum lumen;
Q9UBT2,,SUMO-activating enzyme subunit 2,0.801669702,1,,,nucleus;
Q9UBU6,multiTM,Protein FAM8A1,1.265300427,1,,,integral to membrane;membrane;
Q9UBU9,,Nuclear RNA export factor 1,0.884361445,1,,,cytoplasm;nuclear pore;nuclear inclusion body;intracellular;nuclear speck;nucleoplasm;nucleus;
Q9UBV2,type I,Protein sel-1 homolog 1,1.106481328,1,,,membrane;endoplasmic reticulum;integral to membrane;endoplasmic reticulum membrane;
Q9UBV8,cytosol,Peflin,0.957136608,1,,,cytoplasm;membrane;
Q9UBX3,mito,Mitochondrial dicarboxylate carrier,0.886250443,1,,,mitochondrial inner membrane;mitochondrion;membrane;integral to membrane;
Q9UDW1,,Cytochrome b-c1 complex subunit 9,1.181505777,1,,,mitochondrion;membrane;respiratory chain;mitochondrial inner membrane;mitochondrial envelope;
Q9UDX5,mito,Mitochondrial fission protein MTP18,0.904768805,1,,,mitochondrion;
Q9UDY2,,Tight junction protein ZO-2,0.912509305,1,,,nucleus;cell junction;gap junction;adherens junction;plasma membrane;cytoplasm;plasma membrane;tight junction;
Q9UDY4,,DnaJ homolog subfamily B member 4,1.20394595,1,,,plasma membrane;cytoplasm;
Q9UEU0,type IV,Vesicle transport through interaction with t-SNAREs homolog 1B,1.102821971,1,,,membrane;endomembrane system;Golgi apparatus;SNARE complex;integral to membrane;
Q9UG63,,ATP-binding cassette sub-family F member 2,0.881484053,1,,,mitochondrial envelope;ATP-binding cassette (ABC) transporter complex;mitochondrion;
Q9UGH3,,Solute carrier family 23 member 2,0.946890999,1,,,cytoplasm;basolateral plasma membrane;basolateral plasma membrane;plasma membrane;basolateral plasma membrane;integral to plasma membrane;membrane fraction;basal plasma membrane;basal plasma membrane;integral to membrane;basolateral plasma membrane;apical plasma membrane;cytoplasm;
Q9UGI8,,Testin,0.837945113,1,,,cytoplasm;cell junction;focal adhesion;
Q9UGP8,,Translocation protein SEC63 homolog,1.012833161,1,,,membrane;endoplasmic reticulum membrane;endoplasmic reticulum;integral to membrane;
Q9UGV2,cytosol,Protein NDRG3,1.203172377,1,,,cytoplasm;
Q9UH62,,Armadillo repeat-containing X-linked protein 3,0.797028741,1,,,integral to membrane;membrane;
Q9UH65,,Switch-associated protein 70,0.730662402,1,,,plasma membrane;nucleus;cytoplasm;lamellipodium;
Q9UH99,"type II, nuclear",SUN domain-containing protein 2,1.6462883,1,,,nuclear envelope;nuclear membrane;membrane;nuclear envelope;nuclear inner membrane;endosome;condensed nuclear chromosome;nuclear envelope;nuclear chromosome; telomeric region;SUN-KASH complex;integral to membrane;nucleus;endosome membrane;
Q9UHA4,cytosol,Mitogen-activated protein kinase scaffold protein 1,1.242347157,1,,,late endosome membrane;endosome;membrane;
Q9UHB6,,LIM domain and actin-binding protein 1,1.101515162,1,,,actin cytoskeleton;cytoplasm;cell junction;stress fiber;focal adhesion;
Q9UHB9,cytosol,Signal recognition particle 68 kDa protein,1.07678424,1,,,ribosome;nucleolus;signal recognition particle; endoplasmic reticulum targeting;cytoplasm;nucleus;endoplasmic reticulum;
Q9UHD1,,Cysteine and histidine-rich domain-containing protein 1,0.840464825,1,,,cellular_component;
Q9UHD8,,Septin-9,0.830998308,1,,,cytoplasm;cytoskeleton;stress fiber;perinuclear region of cytoplasm;microtubule;
Q9UHG3,lysosome SS,Prenylcysteine oxidase 1,1.174638699,1,,,plasma membrane;very-low-density lipoprotein particle;lysosome;
Q9UHQ9,type III,NADH-cytochrome b5 reductase 1,0.928002499,1,,,membrane;mitochondrion;integral to membrane;
Q9UHR4,,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1,0.980770594,1,,,cellular_component;
Q9UHV9,,Prefoldin subunit 2,0.754843875,1,,,prefoldin complex;
Q9UHX1,cytosol,Poly(U)-binding-splicing factor PUF60,1.093629133,1,,,nucleus;cyclin-dependent protein kinase activating kinase holoenzyme complex;ribonucleoprotein complex;
Q9UHX3,multiTM SS,EGF-like module-containing mucin-like hormone receptor-like 2,0.965641889,1,,,integral to membrane;plasma membrane;
Q9UHY7,,Enolase-phosphatase E1,0.818872708,1,,,cellular_component;nucleus;cytoplasm;
Q9UI10,cytosol,Translation initiation factor eIF-2B subunit delta,1.040663387,1,,,eukaryotic translation initiation factor 2B complex;eukaryotic translation initiation factor 2B complex;cytoplasm;
Q9UI12,unchar.,V-type proton ATPase subunit H,0.977193224,1,,,cytosol;plasma membrane;plasma membrane;vacuolar proton-transporting V-type ATPase; V1 domain;cytosol;
Q9UI14,,Prenylated Rab acceptor protein 1,1.052748968,1,,,cytoplasm;Golgi apparatus;integral to membrane;synaptic vesicle;cell junction;plasma membrane;cytoplasmic vesicle;synapse;
Q9UI26,,Importin-11,0.981367501,1,,,cytoplasm;nucleus;
Q9UI30,,tRNA methyltransferase 112 homolog,0.975614311,1,,,protein complex;
Q9UIA9,,Exportin-7,0.975699692,1,,,nucleus;cytoplasm;nuclear pore;
Q9UIG0,,Tyrosine-protein kinase BAZ1B,1.126893598,1,,,nucleus;condensed chromosome;chromatin remodeling complex;centromeric heterochromatin;
Q9UIQ6,type II,Leucyl-cystinyl aminopeptidase,1.222721461,1,,,extracellular region;membrane fraction;intracellular;plasma membrane;microsome;perinuclear region of cytoplasm;integral to plasma membrane;
Q9UIW2,type I,Plexin-A1,0.858400625,1,,,plasma membrane;integral to membrane;intracellular;plasma membrane;membrane fraction;
Q9UJS0,mito,Calcium-binding mitochondrial carrier protein Aralar2,0.855989476,1,,,mitochondrion;mitochondrion;integral to plasma membrane;mitochondrial inner membrane;membrane;mitochondrion;
Q9UJU6,,Drebrin-like protein,0.715094519,1,,,cytoplasm;intracellular;cell cortex;cytosol;lamellipodium;cytoskeleton;
Q9UJX3,,Anaphase-promoting complex subunit 7,0.886925124,1,,,cytosol;cytosol;cytosol;cytosol;nucleoplasm;nucleoplasm;nucleoplasm;cytosol;anaphase-promoting complex;
Q9UJZ1,cytosol,Stomatin-like protein 2,0.948688563,1,,,mitochondrial inner membrane;cytoplasm;membrane;mitochondrion;cytoskeleton;
Q9UK22,,F-box only protein 2,0.834096126,1,,,NA
Q9UK41,,Vacuolar protein sorting-associated protein 28 homolog,1.203181488,1,,,plasma membrane;cytoplasm;endosome;late endosome membrane;cytosol;
Q9UK59,,Lariat debranching enzyme,1.041558231,1,,,nucleus;
Q9UKD2,,mRNA turnover protein 4 homolog,0.833214056,1,,,intracellular;nucleus;nucleolus;
Q9UKK9,,ADP-sugar pyrophosphatase,0.765141829,1,,,intracellular;
Q9UKL0,,REST corepressor 1,1.127048419,1,,,nucleus;
Q9UKM7,type II,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",2.326219521,1,,,integral to membrane;membrane fraction;endoplasmic reticulum;membrane;endoplasmic reticulum membrane;
Q9UKM9,,RNA-binding protein Raly,0.88988888,1,,,heterogeneous nuclear ribonucleoprotein complex;nucleus;spliceosomal complex;
Q9UKN8,,General transcription factor 3C polypeptide 4,0.961037475,1,,,transcription factor TFIIIC complex;nucleus;
Q9UKQ2,type I,Disintegrin and metalloproteinase domain-containing protein 28,2.327854605,1,,,integral to membrane;plasma membrane;extracellular region;
Q9UKR5,,Probable ergosterol biosynthetic protein 28,0.769820689,1,,,endoplasmic reticulum membrane;membrane;transport vesicle;endoplasmic reticulum;integral to membrane;
Q9UKS6,,Protein kinase C and casein kinase substrate in neurons protein 3,1.375096563,1,,,cytoplasm;plasma membrane;
Q9UKV3,,Apoptotic chromatin condensation inducer in the nucleus,0.901261683,1,,,nucleolus;nucleus;cytosol;nucleus;cytoplasm;
Q9UKV8,,Protein argonaute-2,1.109795127,1,,,micro-ribonucleoprotein complex;mRNA cap binding complex;nucleus;cytoplasm;RNA-induced silencing complex;cytoplasmic mRNA processing body;
Q9UKY7,,Protein CDV3 homolog,0.791034826,1,,,cellular_component;cytoplasm;
Q9UL15,,BAG family molecular chaperone regulator 5,1.081127205,1,,,perinuclear region of cytoplasm;inclusion body;
Q9UL25,cytosol,Ras-related protein Rab-21,0.980020534,1,,,cytoplasmic vesicle membrane;Golgi apparatus;cytoplasmic vesicle;endoplasmic reticulum;membrane;early endosome membrane;endosome;Golgi membrane;endoplasmic reticulum membrane;
Q9UL46,,Proteasome activator complex subunit 2,0.806656148,1,,,proteasome activator complex;proteasome complex;
Q9ULA0,,Aspartyl aminopeptidase,0.831153798,1,,,cytoplasm;vacuole;
Q9ULC3,,Ras-related protein Rab-23,0.958213027,1,,,plasma membrane;
Q9ULC4,,Malignant T cell-amplified sequence 1,0.756190004,1,,,cytoplasm;
Q9ULC5,type III,Long-chain-fatty-acid--CoA ligase 5,0.962060715,1,,,endoplasmic reticulum membrane;integral to membrane;mitochondrion;endoplasmic reticulum;mitochondrial inner membrane;membrane;mitochondrial outer membrane;
Q9ULF5,multiTM SS,Zinc transporter ZIP10,1.365458597,1,,,membrane;integral to membrane;
Q9ULH0,multiTM,Kinase D-interacting substrate of 220 kDa,1.316375808,1,,,membrane;integral to membrane;cytosol;
Q9ULP9,cytosol,TBC1 domain family member 24,0.870390156,1,,,intracellular;
Q9ULQ1,multiTM,Two pore calcium channel protein 1,0.794591538,1,,,membrane;integral to membrane;
Q9ULT0,cytosol,Tetratricopeptide repeat protein 7A,0.829155421,1,,,NA
Q9ULT8,,E3 ubiquitin-protein ligase HECTD1,0.985973633,1,,,intracellular;
Q9ULV4,cytosol,Coronin-1C,1.0537537,1,,,actin cytoskeleton;
Q9ULX3,,RNA-binding protein NOB1,0.911440254,1,,,nucleus;
Q9UM00,type III,Transmembrane and coiled-coil domain-containing protein 1,0.814643515,1,,,endoplasmic reticulum membrane;endoplasmic reticulum;Golgi membrane;integral to membrane;Golgi apparatus;membrane;
Q9UM54,cytosol,Myosin-VI,1.226543785,1,,,nucleoplasm;perinuclear region of cytoplasm;cell cortex;cytoplasm;cytoplasm;endocytic vesicle;coated pit;axon;perinuclear region of cytoplasm;cytosol;clathrin-coated endocytic vesicle;unconventional myosin complex;cytoplasmic membrane-bounded vesicle;ruffle;DNA-directed RNA polymerase II; holoenzyme;nucleus;nuclear membrane;cytoplasm;cytoplasm;filamentous actin;filamentous actin;neuronal cell body;plasma membrane;Golgi apparatus;ruffle;ruffle membrane;vesicle membrane;clathrin coated vesicle membrane;
Q9UMS4,cytosol,Pre-mRNA-processing factor 19,1.005858868,1,,,cytoplasm;nucleus;spliceosomal complex;lipid particle;nuclear speck;ubiquitin ligase complex;nucleoplasm;
Q9UMX0,,Ubiquilin-1,0.859706347,1,,,perinuclear region of cytoplasm;endoplasmic reticulum;proteasome complex;nucleus;perinuclear region of cytoplasm;cytoplasm;protein complex;cytoplasm;
Q9UMY4,,Sorting nexin-12,0.821452768,1,,,NA
